ID,Class
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,0
63,0
64,1
65,0
66,1
67,0
68,1
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,1
83,0
84,0
85,1
86,1
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,1
103,0
104,1
105,0
106,1
107,1
108,0
109,0
110,1
111,0
112,0
113,1
114,0
115,1
116,1
117,0
118,1
119,0
120,0
121,0
122,0
123,1
124,1
125,1
126,1
127,0
128,0
129,0
130,0
131,1
132,0
133,1
134,1
135,0
136,1
137,1
138,1
139,0
140,1
141,0
142,0
143,0
144,1
145,1
146,0
147,0
148,0
149,0
150,1
