ID,score_tag,agreement,subjectivity,confidence,irony,happy,angry,bored,fear,sad,excited,spam,news,feedback,marketing,query,word_count,words_per_sentence,sentence_count,six_plus_words,emojis,emoticons,hashtags,urls,analytical_thinking,authentic,clout,emotional_tone,dictionary_words,achievement,adjectives,adverbs,affect,affiliation,all_punctuation,anger_words,anxiety_words,apostrophes,articles,assent,auxiliary_verbs,biological_processes,body,causation,certainty,cognitive_processes,colons,commas,comparisons,conjunctions,dashes,death,differentiation,discrepancies,drives,exclamations,family,feel,female,filler_words,focus_future,focus_past,focus_present,friends,function_words,health,hear,home,i,impersonal_pronouns,informal_language,ingestion,insight,interrogatives,leisure,male,money,motion,negations,negative_emotion_words,netspeak,nonfluencies,numbers,other_grammar,other_punctuation,parentheses,perceptual_processes,periods,personal_concerns,personal_pronouns,positive_emotion_words,power,prepositions,pronouns,quantifiers,question_marks,quotes,relativity,religion,reward,risk,sad_words,see,semicolons,sexual,she_he,social,space,swear_words,tentative,they,time,time_orientation,verbs,we,work,you,admiration_count,amusement_count,anger_count,boredom_count,calmness_count,curiosity_count,desire_count,disgust_count,excitement_count,fear_count,gratitude_count,joy_count,love_count,pain_count,sadness_count,surprise_count,goodfeel_count,ambifeel_count,badfeel_count,emotionality_count,sentiment_count,admiration_score,amusement_score,anger_score,boredom_score,calmness_score,curiosity_score,desire_score,disgust_score,excitement_score,fear_score,gratitude_score,joy_score,love_score,pain_score,sadness_score,surprise_score,goodfeel_score,ambifeel_score,badfeel_score,emotionality_score,sentiment_score,non_emotion_score,emotion_word_count,Class
1,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.220926713,0.200280017,0.050860928,0.127192179,0.137100732,0.169851274,0.061,0.706,0.038,0.179,0.016,847,24.2,35,0.3069657615112160,0,0,0,0,78.47194249600670,21.631363289117300,72.2439590712318,18.780337598519400,0.7957497048406140,0.018890200708382500,0.04014167650531290,0.05076741440377800,0.025974025974026000,0.0295159386068477,0.14049586776859500,0.0035419126328217200,0.0023612750885478200,0.02833530106257380,0.07792207792207790,0,0.06965761511216060,0.004722550177095630,0.0011806375442739100,0.009445100354191260,0.008264462809917360,0.10035419126328200,0.0011806375442739100,0.03659976387249110,0.025974025974026000,0.05076741440377800,0.009445100354191260,0,0.03659976387249110,0.0059031877213695400,0.08382526564344750,0,0.0011806375442739100,0.0023612750885478200,0,0,0.0070838252656434500,0.0448642266824085,0.0011806375442739100,0.0011806375442739100,0.4923258559622200,0.0011806375442739100,0.0059031877213695400,0.0070838252656434500,0.0023612750885478200,0.07792207792207790,0.004722550177095630,0.0011806375442739100,0.02833530106257380,0.014167650531286900,0.008264462809917360,0.024793388429752100,0.0070838252656434500,0.015348288075560800,0.021251475796930300,0.015348288075560800,0.0035419126328217200,0.0011806375442739100,0.015348288075560800,0.20306965761511200,0.010625737898465200,0.0023612750885478200,0.020070838252656400,0.043683589138134600,0.07083825265643450,0.04604486422668240,0.010625737898465200,0.0295159386068477,0.13931523022432100,0.12396694214876000,0.0070838252656434500,0,0.0070838252656434500,0.12632821723730800,0.0059031877213695400,0.0070838252656434500,0.0059031877213695400,0,0.011806375442739100,0.0011806375442739100,0.0011806375442739100,0.024793388429752100,0.10861865407320000,0.07083825265643450,0,0.02243211334120430,0.008264462809917360,0.04250295159386070,0.1334120425029520,0.12750885478158200,0.009445100354191260,0.04604486422668240,0.0011806375442739100,23,0,24,7,1,0,10,18.375,4.83,34.375,8,9,4,0,23,0,42.83,10,72.375,125.205,42.83,0.4650456230693320,0,0.4756476988346920,0.20922057108221400,0.03641990430707570,0,0.27429188517743200,0.4098587994532180,0.15437468561080800,0.565076112135572,0.2321699762345400,0.2538249079092300,0.13133048602716900,0,0.4048809467862400,0,0.04609316566312060,0.01076188785036670,0.07788916331702910,0.1347442168305160,-0.6122898952042570,0.8652557831694840,43,1
2,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.089605743,0.186209282,0.076196199,0.269985999,0.275841404,0.102161373,0.115,0.324,0.408,0.068,0.085,706,20.764705882352900,34,0.311614730878187,0,0,0,0,91.5315661675435,13.737652420248800,89.35379860932270,25.774193548387100,0.8356940509915010,0.018413597733711000,0.053824362606232300,0.049575070821529700,0.059490084985835700,0.0169971671388102,0.16572237960339900,0.0169971671388102,0.00141643059490085,0.007082152974504250,0.09490084985835690,0,0.03541076487252130,0.0056657223796034,0.0028328611898017,0.014164305949008500,0.018413597733711000,0.10623229461756400,0,0.049575070821529700,0.029745042492917800,0.05099150141643060,0,0,0.021246458923512700,0.012747875354107600,0.08781869688385270,0,0.0056657223796034,0.00424929178470255,0.05099150141643060,0,0.009915014164305950,0.042492917847025500,0.00141643059490085,0.00141643059490085,0.49291784702549600,0.00141643059490085,0.012747875354107600,0.00141643059490085,0.009915014164305950,0.043909348441926300,0.0028328611898017,0.00141643059490085,0.029745042492917800,0.0226628895184136,0.0028328611898017,0.00424929178470255,0.0028328611898017,0.009915014164305950,0.009915014164305950,0.029745042492917800,0.00141643059490085,0.00141643059490085,0.021246458923512700,0.20679886685552400,0.0084985835694051,0.0028328611898017,0.026912181303116100,0.042492917847025500,0.046742209631728000,0.08356940509915020,0.029745042492917800,0.036827195467422100,0.16147308781869700,0.1274787535410770,0.012747875354107600,0.0056657223796034,0.049575070821529700,0.14022662889518400,0,0.009915014164305950,0.0169971671388102,0.007082152974504250,0.007082152974504250,0,0,0.043909348441926300,0.14589235127478800,0.07932011331444760,0,0.019830028328611900,0.009915014164305950,0.053824362606232300,0.11898016997167100,0.09631728045325780,0.0084985835694051,0.039660056657223800,0.0113314447592068,25,0,72,3,4,15,4,14,25,30,16.5,18.125,48,0,25,0,108.125,25,114,243.125,108.125,0.4894589185502700,0,0.7341184962925480,0.10317500575623200,0.13299282904102800,0.36516954793881100,0.13299282904102800,0.34932920390774400,0.4894589185502700,0.5349805062531010,0.3875349080156340,0.4100510851362650,0.6479760703208690,0,0.4460795064310570,0,0.12160832278925900,0.02811753128075360,0.1282159426402360,0.27344299170532800,-0.2416294528097920,0.7265570082946720,60,0
3,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.056083918,0.337662481,0.123160872,0.188343289,0.228421734,0.066327705,0.056,0.376,0.183,0.083,0.302,1271,20.83606557377050,61,0.34539732494099100,0,0,0,0,85.8849586683969,19.74535944284170,70.37971730106620,49.17702596380800,0.8269079464988200,0.01966955153422500,0.05586152635719910,0.04012588512981900,0.07317073170731710,0.01888276947285600,0.17466561762391800,0.01809598741148700,0.004720692368214010,0.004720692368214010,0.08497246262785210,0.0007867820613690010,0.06372934697088910,0.007867820613690010,0.003147128245476000,0.025963808025177000,0.020456333595594000,0.14083398898505100,0.0015735641227380000,0.06215578284815110,0.02753737214791500,0.05979543666404410,0.007081038552321010,0.003933910306845000,0.02832415420928400,0.01730920535011800,0.0967741935483871,0,0,0.004720692368214010,0,0,0.012588512981904000,0.02832415420928400,0.0015735641227380000,0.0015735641227380000,0.4815106215578290,0.0015735641227380000,0.0007867820613690010,0.0007867820613690010,0.0007867820613690010,0.06136900078678210,0.011014948859166000,0.0015735641227380000,0.03697875688434300,0.01966955153422500,0.0015735641227380000,0.003933910306845000,0.006294256490952010,0.015735641227380000,0.013375295043273000,0.02989771833202200,0.007081038552321010,0.0023603461841070000,0.012588512981904000,0.2187254130605820,0.011014948859166000,0.007081038552321010,0.014948859166011000,0.05428796223446110,0.07002360346184110,0.045633359559402000,0.042486231313926000,0.04956726986624710,0.14004720692368200,0.10700236034618400,0.010228166797797000,0.003147128245476000,0.023603461841070000,0.11408339889850500,0.0007867820613690010,0.010228166797797000,0.00865460267505901,0.0023603461841070000,0.007081038552321010,0,0.0007867820613690010,0.003933910306845000,0.07553107789142410,0.06687647521636510,0.0007867820613690010,0.029110936270653000,0.01966955153422500,0.03225806451612900,0.11801730920535000,0.12352478363493300,0.00944138473642801,0.05979543666404410,0.011801730920535000,138.07500000000000,0,117.75,0,23.125,8,52.5,27,2.83,75.025,17,21.875,15,3,138.07500000000000,0,210.90500000000000,63.75,197.775,467.43,210.90500000000000,0.7981052480582110,0,0.7712284391008000,0,0.39833947376253600,0.1863563902639860,0.6004906977118550,0.43598667335018500,0.07495001444532320,0.6823339056638580,0.3273732252239330,0.3850995206069820,0.3004296240172760,0.07909619750572910,0.3273732252239330,0,0.1307994765664250,0.03953660003845130,0.1226564874134070,0.2898916542113460,0.3470957542693360,0.7101083457886540,126,1
4,N,DISAGREEMENT,OBJECTIVE,84,NONIRONIC,0.044480133,0.249139457,0.08433114,0.223564722,0.327372132,0.071112416,0.064,0.634,0.193,0.023,0.086,562,20.071428571428600,28,0.35231316725978600,0,0,0,0,96.29039928043490,31.746822572445400,83.17135231316730,1,0.7900355871886120,0.014234875444839900,0.04448398576512460,0.01601423487544480,0.05516014234875450,0.028469750889679700,0.10676156583629900,0.037366548042704600,0.0035587188612099600,0.005338078291814950,0.10676156583629900,0,0.07295373665480430,0.014234875444839900,0.0035587188612099600,0.012455516014234900,0.0017793594306049800,0.046263345195729500,0.0017793594306049800,0.019572953736654800,0.026690391459074700,0.03558718861209970,0.0071174377224199300,0.030249110320284700,0.017793594306049800,0,0.08718861209964410,0,0.0035587188612099600,0.0017793594306049800,0,0,0.0017793594306049800,0.06583629893238430,0,0,0.46619217081850500,0.014234875444839900,0.014234875444839900,0.008896797153024910,0.0035587188612099600,0.042704626334519600,0.0017793594306049800,0,0.0071174377224199300,0.01601423487544480,0.0035587188612099600,0.017793594306049800,0.0017793594306049800,0.005338078291814950,0.0071174377224199300,0.046263345195729500,0.0017793594306049800,0,0.04448398576512460,0.21708185053380800,0.0071174377224199300,0.005338078291814950,0.019572953736654800,0.0498220640569395,0.07473309608540930,0.04448398576512460,0.008896797153024910,0.046263345195729500,0.15302491103202800,0.08718861209964410,0.019572953736654800,0,0.010676156583629900,0.16370106761565800,0.005338078291814950,0,0.005338078291814950,0.0071174377224199300,0.0035587188612099600,0,0,0.010676156583629900,0.10142348754448400,0.10142348754448400,0,0.0071174377224199300,0.0071174377224199300,0.05871886120996440,0.09786476868327400,0.10676156583629900,0.021352313167259800,0.026690391459074700,0.0017793594306049800,7,0,190,7,0,0,0,5,0,57,2,5,9,12,7,0,18,0,225,243,18,0.228278344279431,0,0.8892453394722650,0.228278344279431,0,0,0,0.1744328890878360,0,0.7066321344192220,0.0779292055122247,0.1744328890878360,0.2755300045753370,0.3364707442038020,0.5670975234305430,0,0.024128686327077700,0,0.30160857908847200,0.3257372654155500,-0.9252091308263980,0.6742627345844500,59,1
5,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.045455429,0.295509559,0.035178709,0.237420396,0.306869279,0.08018365,0.018,0.864,0.079,0.01,0.028,153,38.25,4,0.3660130718954250,0,0,0,0,97.47561837837250,1.0891804434192000,83.65980392156860,37.32582909707090,0.7450980392156860,0,0.013071895424836600,0.0392156862745098,0.006535947712418300,0.013071895424836600,0.16993464052287600,0,0,0.013071895424836600,0.13071895424836600,0,0.058823529411764700,0,0,0,0.013071895424836600,0.0392156862745098,0,0.06535947712418300,0.006535947712418300,0.0196078431372549,0.006535947712418300,0.013071895424836600,0.006535947712418300,0,0.0784313725490196,0,0.013071895424836600,0,0.05228758169934640,0,0,0.0784313725490196,0,0,0.43137254901960800,0,0,0.013071895424836600,0,0.0392156862745098,0,0,0.013071895424836600,0.0196078431372549,0.013071895424836600,0.006535947712418300,0,0.013071895424836600,0.0196078431372549,0,0,0,0.032679738562091500,0.16993464052287600,0.0196078431372549,0,0.013071895424836600,0.032679738562091500,0.0915032679738562,0.032679738562091500,0.006535947712418300,0.05228758169934640,0.1437908496732030,0.0718954248366013,0,0,0.032679738562091500,0.0718954248366013,0.006535947712418300,0,0.013071895424836600,0,0.013071895424836600,0,0,0.0196078431372549,0.12418300653594800,0.0196078431372549,0,0.006535947712418300,0.013071895424836600,0.0392156862745098,0.09803921568627450,0.10457516339869300,0,0.0457516339869281,0,5,0,19,0,0,0,0,0,0,29,0,0,0,0,5,0,5,0,34,39,5,0.3585701736362870,0,0.6799246751246120,0,0,0,0,0,0,0.7642787314192170,0,0,0,0,0.6414298263637130,0,0.0273224043715847,0,0.18579234972677600,0.21311475409836100,-0.8209586712986690,0.7868852459016390,9,1
6,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.172215675,0.234989871,0.065389575,0.156412464,0.099669822,0.299519377,0.106,0.606,0.215,0.053,0.019,211,10.55,20,0.2938388625592420,0,0,0,0,62.24423882243790,14.651299727129100,73.10379146919430,89.34062903920720,0.8104265402843600,0.023696682464455000,0.023696682464455000,0.02843601895734600,0.052132701421800900,0.009478672985781990,0.27488151658767800,0.004739336492891000,0.004739336492891000,0.052132701421800900,0.07582938388625590,0,0.0995260663507109,0.018957345971564000,0,0.02843601895734600,0.009478672985781990,0.13744075829383900,0.004739336492891000,0.052132701421800900,0.018957345971564000,0.05687203791469190,0,0,0.04265402843601900,0.037914691943128000,0.07109004739336490,0.004739336492891000,0,0,0,0,0.02843601895734600,0.04739336492891000,0,0,0.4976303317535550,0.014218009478673000,0.023696682464455000,0,0,0.061611374407582900,0.009478672985781990,0,0.037914691943128000,0.004739336492891000,0.009478672985781990,0.03317535545023700,0,0.014218009478673000,0.02843601895734600,0.004739336492891000,0.009478672985781990,0,0.004739336492891000,0.24644549763033200,0.018957345971564000,0,0.02843601895734600,0.08530805687203790,0.014218009478673000,0.08056872037914690,0.04265402843601900,0.03317535545023700,0.11374407582938400,0.14218009478673000,0.004739336492891000,0,0.05687203791469190,0.13744075829383900,0,0.02843601895734600,0.004739336492891000,0,0.004739336492891000,0,0,0.03317535545023700,0.12796208530805700,0.09004739336492890,0,0.04265402843601900,0.04265402843601900,0.03317535545023700,0.1943127962085310,0.20853080568720400,0,0.004739336492891000,0.004739336492891000,2,0,19,0,0,0,1,6,9,14,6,15,9.73,0,2,0,35.730000000000000,1,32,65.73000000000000,35.730000000000000,0.09090909090909090,0,0.48717948717948700,0,0,0,0.047619047619047600,0.23076923076923100,0.3103448275862070,0.4117647058823530,0.23076923076923100,0.42857142857142900,0.32727884291961000,0,0.047619047619047600,0,0.140818980806369,0.003941197335750600,0.12611831474401900,0.259054900878887,0.2087047725313390,0.7409450991211130,23,0
7,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.10421782,0.101705184,0.112729979,0.401048651,0.136634849,0.193061507,0.265,0.229,0.324,0.028,0.153,512,20.48,25,0.2578125,0,0,0,0,98.05299698004200,25.194556451612900,77.68844696969700,81.93243243243240,0.77734375,0.0078125,0.04296875,0.037109375,0.03125,0.005859375,0.1328125,0,0,0.02734375,0.1015625,0.00390625,0.033203125,0.0234375,0.017578125,0.013671875,0.013671875,0.046875,0,0.021484375,0.017578125,0.04296875,0.015625,0.001953125,0.001953125,0.001953125,0.044921875,0.001953125,0,0.009765625,0.001953125,0,0.0078125,0.009765625,0,0,0.435546875,0.001953125,0.005859375,0.005859375,0,0.0390625,0.00390625,0,0.0078125,0.015625,0.013671875,0.046875,0.00390625,0.046875,0.001953125,0,0,0,0.04296875,0.201171875,0.00390625,0,0.06640625,0.04296875,0.03515625,0.04296875,0.03125,0.021484375,0.17578125,0.08203125,0.01171875,0.00390625,0.015625,0.1953125,0,0.017578125,0,0,0.05078125,0,0,0.033203125,0.07421875,0.08984375,0,0.01171875,0.00390625,0.064453125,0.08203125,0.095703125,0,0.009765625,0.005859375,23.080000000000000,0,3,4,18,10.7,0,0,28,4,8.73,28.455,49,0,23.080000000000000,0,128.535,10.7,14,149.885,128.535,0.5079149368865500,0,0.1182933591140400,0.15174115516527200,0.44597861335205800,0.323647307702725,0,0,0.5559893179579540,0.15174115516527200,0.280791544706603,0.5599649581781310,0.6866526517754360,0,0.2384140985032930,0,0.20277337371920800,0.016880033444552200,0.022086025067638500,0.23645456194735600,0.8786971506694230,0.7635454380526440,28,1
8,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.309461283,0.115672523,0.033147805,0.095182916,0.05691702,0.491201468,0.043,0.649,0.102,0.197,0.009,831,25.181818181818200,33,0.345367027677497,0,0,0,0,95.70671194709070,9.459680325249680,86.5891278187621,73.0179302045728,0.7942238267148010,0.03369434416365820,0.056558363417569200,0.030084235860409100,0.03850782190132370,0.026474127557160000,0.16365824308062600,0,0.0024067388688327300,0.01444043321299640,0.0914560770156438,0,0.05415162454873650,0.0048134777376654600,0.0024067388688327300,0.018050541516245500,0.007220216606498200,0.07220216606498200,0.0012033694344163700,0.06498194945848380,0.021660649819494600,0.05054151624548740,0,0,0.013237063778580000,0.015643802647412800,0.12515042117930200,0,0.0036101083032491000,0.007220216606498200,0.0036101083032491000,0,0.009626955475330930,0.04332129963898920,0,0,0.4380264741275570,0.0024067388688327300,0.007220216606498200,0,0.0012033694344163700,0.039711191335740100,0.0012033694344163700,0,0.006016847172081830,0.01684717208182910,0.006016847172081830,0.04693140794223830,0.01684717208182910,0.019253910950661900,0.0024067388688327300,0.006016847172081830,0,0.0012033694344163700,0.032490974729241900,0.23345367027677500,0.0024067388688327300,0.0012033694344163700,0.024067388688327300,0.06377858002406740,0.06979542719614920,0.03850782190132370,0.031287605294825500,0.07220216606498200,0.1552346570397110,0.07821901323706380,0.021660649819494600,0,0.015643802647412800,0.15042117930204600,0.0024067388688327300,0.00842358604091456,0.0024067388688327300,0.0036101083032491000,0.015643802647412800,0,0,0.024067388688327300,0.11672683513838700,0.08543922984356200,0,0.01444043321299640,0.0024067388688327300,0.0457280385078219,0.11552346570397100,0.11311672683513800,0.006016847172081830,0.05776173285198560,0.0048134777376654600,34,0,7,3.5,2,3.3,16.875,13.425,14.65,24.375,8.95,23.725,33.225,0,34,0.325,109.55,21.175,51.8,175.90000000000000,109.55,0.5696052109894580,0,0.21412971538676200,0.11990216603729200,0.0722270279186898,0.11383052952379400,0.39644815198487100,0.3432146325245510,0.363158925978273,0.48686254933219500,0.2583683550249930,0.48011285382953900,0.5639436082066840,0,0.4873745045231300,0.01249256924812000,0.11448427212874900,0.022128749085588900,0.054133138258961200,0.18382276099905900,0.7607101856634330,0.8161772390009410,50,0
9,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.209470841,0.133818498,0.064274173,0.211267222,0.142638726,0.23853054,0.089,0.615,0.211,0.071,0.015,1440,19.726027397260300,73,0.2847222222222220,0,0,0,0,68.59013605442180,9.090709353421220,85.28661616161620,90.21092278719400,0.8583333333333330,0.03333333333333330,0.050694444444444400,0.03125,0.05138888888888890,0.044444444444444400,0.10555555555555600,0.0020833333333333300,0.004166666666666670,0.003472222222222220,0.059722222222222200,0,0.09583333333333330,0.00625,0,0.01875,0.03333333333333330,0.12638888888888900,0,0.03194444444444440,0.03263888888888890,0.06597222222222220,0,0.001388888888888890,0.025694444444444400,0.03263888888888890,0.12916666666666700,0,0.0006944444444444450,0.0006944444444444450,0,0,0.020833333333333300,0.015277777777777800,0.002777777777777780,0.002777777777777780,0.5263888888888890,0.005555555555555560,0.004166666666666670,0.004166666666666670,0.017361111111111100,0.06041666666666670,0,0,0.011805555555555600,0.013194444444444400,0.0020833333333333300,0.006944444444444440,0.017361111111111100,0.022222222222222200,0.010416666666666700,0.00625,0,0,0.011805555555555600,0.24375,0.015277777777777800,0,0.010416666666666700,0.05,0.07083333333333330,0.08263888888888890,0.04513888888888890,0.044444444444444400,0.1451388888888890,0.14305555555555600,0.02847222222222220,0.004861111111111110,0,0.10972222222222200,0.010416666666666700,0.02638888888888890,0.0020833333333333300,0,0.004166666666666670,0,0,0.0020833333333333300,0.10972222222222200,0.06527777777777780,0,0.027083333333333300,0.014583333333333300,0.02361111111111110,0.15486111111111100,0.14652777777777800,0.030555555555555600,0.044444444444444400,0.018055555555555600,124.125,0,32,2,27.625,11,44,15,46.625,40,47.625,29,68,3,124.125,3,282,60,87,425,282,0.764622792513703,0,0.4557758788319710,0.0497389372927,0.4196099720886870,0.2235320461836760,0.5352150433618350,0.28190218237755800,0.5495966226953660,0.5114439002612570,0.5548439420735700,0.4314837546421360,0.6402413553293870,0.07279795937095580,0.3202280231369200,0.07279795937095580,0.1628175519630490,0.03464203233256350,0.05023094688221710,0.2453810623556580,0.8783051381262510,0.7546189376443420,133,0
10,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.171111338,0.191954514,0.063464889,0.18688816,0.140058474,0.246522626,0.025,0.895,0.05,0.024,0.005,1746,17.11764705882350,102,0.32760595647193600,0,0,0,0,96.5592865324824,10.979263424624300,87.51434181920190,44.658556701030900,0.7777777777777780,0.022336769759450200,0.04524627720504010,0.021764032073310400,0.033218785796105400,0.022336769759450200,0.2016036655211910,0.004009163802978240,0.001718213058419240,0.011454753722795000,0.09106529209621990,0.000572737686139748,0.052691867124856800,0.004009163802978240,0,0.00859106529209622,0.005154639175257730,0.06586483390607100,0.001718213058419240,0.06242840778923250,0.019473081328751400,0.042382588774341400,0,0.000572737686139748,0.019473081328751400,0.012027491408934700,0.145475372279496,0.000572737686139748,0.001718213058419240,0.001718213058419240,0.001718213058419240,0,0.012600229095074500,0.06128293241695300,0.001145475372279500,0.001145475372279500,0.4163802978235970,0.002290950744558990,0.015463917525773200,0.005154639175257730,0.0057273768613974800,0.022909507445589900,0.0057273768613974800,0.001718213058419240,0.013172966781214200,0.011454753722795000,0.006300114547537230,0.07789232531500570,0.010882016036655200,0.018900343642611700,0.00859106529209622,0.010309278350515500,0.005154639175257730,0,0.01718213058419240,0.19759450171821300,0.003436426116838490,0.002290950744558990,0.025200458190148900,0.09965635738831620,0.08018327605956470,0.04524627720504010,0.020618556701030900,0.09163802978235970,0.14833906071019500,0.06815578465063,0.010309278350515500,0.001718213058419240,0.018327605956471900,0.143184421534937,0,0.011454753722795000,0.006300114547537230,0.001145475372279500,0.006872852233676980,0,0,0.033218785796105400,0.14490263459335600,0.08247422680412370,0,0.017754868270332200,0.002290950744558990,0.0429553264604811,0.11798396334478800,0.11397479954181000,0.001718213058419240,0.06357388316151200,0.002290950744558990,35,0,87.2,0,67,17.125,35,42,3.73,42,36,24,46,0,35,7,205.73,58.125,177.2,415.055,205.73,0.4365921112749330,0,0.6587776573420670,0,0.597327046185992,0.2749177450970930,0.4365921112749330,0.4818372638655220,0.07628379830081950,0.4818372638655220,0.44353350786507400,0.3469894944679490,0.5045720858281110,0,0.31738182765068300,0.1341860944941310,0.10001191023088800,0.02825641511772900,0.08614256789439270,0.20177146454518700,0.4718241841360450,0.7982285354548130,104,0
