ID,Class
1,0
2,1
3,1
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,1
67,0
68,1
69,0
70,1
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,1
79,0
80,1
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,0
89,1
90,1
91,1
92,0
93,0
94,0
95,1
96,1
97,0
98,1
99,0
100,0
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,0
109,1
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,0
127,0
128,1
129,0
130,0
131,0
132,1
133,0
134,1
135,1
136,0
137,0
138,1
139,1
140,1
141,0
142,0
143,0
144,0
145,1
146,0
147,0
148,1
149,0
150,1
