@relation Training-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute ID numeric
@attribute query numeric
@attribute urls numeric
@attribute affect numeric
@attribute commas numeric
@attribute dashes numeric
@attribute differentiation numeric
@attribute exclamations numeric
@attribute hear numeric
@attribute i numeric
@attribute other_punctuation numeric
@attribute periods numeric
@attribute personal_concerns numeric
@attribute power numeric
@attribute relativity numeric
@attribute semicolons numeric
@attribute social numeric
@attribute ambifeel_score numeric
@attribute Class {0,1}

@data
1,0.016,0,0.025974,0.0366,0.009445,0.0366,0,0.005903,0.002361,0.010626,0.043684,0.070838,0.029516,0.126328,0.001181,0.108619,0.010762,1
2,0.085,0,0.05949,0.049575,0,0.021246,0,0.012748,0.009915,0.008499,0.042493,0.046742,0.036827,0.140227,0,0.145892,0.028118,0
3,0.302,0,0.073171,0.062156,0.007081,0.028324,0,0.000787,0.000787,0.011015,0.054288,0.070024,0.049567,0.114083,0,0.075531,0.039537,1
4,0.086,0,0.05516,0.019573,0.007117,0.017794,0,0.014235,0.003559,0.007117,0.049822,0.074733,0.046263,0.163701,0,0.101423,0,1
5,0.028,0,0.006536,0.065359,0.006536,0.006536,0,0,0,0.019608,0.03268,0.091503,0.052288,0.071895,0,0.124183,0,1
6,0.019,0,0.052133,0.052133,0,0.042654,0.004739,0.023697,0,0.018957,0.085308,0.014218,0.033175,0.137441,0,0.127962,0.003941,0
7,0.153,0,0.03125,0.021484,0.015625,0.001953,0.001953,0.005859,0,0.003906,0.042969,0.035156,0.021484,0.195313,0,0.074219,0.01688,1
8,0.009,0,0.038508,0.064982,0,0.013237,0,0.00722,0.001203,0.002407,0.063779,0.069795,0.072202,0.150421,0,0.116727,0.022129,0
9,0.015,0,0.051389,0.031944,0,0.025694,0,0.004167,0.017361,0.015278,0.05,0.070833,0.044444,0.109722,0,0.109722,0.034642,0
10,0.005,0,0.033219,0.062428,0,0.019473,0.000573,0.015464,0.005727,0.003436,0.099656,0.080183,0.091638,0.143184,0,0.144903,0.028256,0
11,0.063,0,0.025965,0.045273,0,0.016644,0,0.007989,0,0.009987,0.04727,0.115846,0.05526,0.142477,0,0.091877,0.016239,0
12,0.063,0,0.067308,0.042308,0,0.021154,0.005769,0.003846,0.003846,0.021154,0.046154,0.101923,0.011538,0.086538,0,0.088462,0.013104,0
13,0.036,0,0.035165,0.072527,0.013187,0.01978,0,0.004396,0,0.002198,0.043956,0.052747,0.043956,0.156044,0,0.035165,0.00478,1
14,0.009,0,0.01145,0.034351,0,0.019084,0,0.003817,0,0.003817,0.034351,0.034351,0.091603,0.110687,0,0.068702,0.010798,1
15,0.021,0,0.037201,0.073516,0,0.019486,0,0.015058,0.001771,0.0062,0.074402,0.05403,0.020372,0.158547,0,0.10186,0.021065,0
16,0.052,0,0.031721,0.047581,0,0.018239,0,0.011102,0.003965,0.009516,0.073751,0.105472,0.067407,0.149088,0,0.09437,0.015178,0
17,0.015,0,0.024664,0.049327,0.011211,0.015695,0.002242,0.017937,0.006726,0.006726,0.044843,0.060538,0.026906,0.174888,0,0.139013,0.037893,1
18,0.005,0,0.021692,0.02603,0.001446,0.015184,0.007231,0.000723,0.007954,0.033984,0.062907,0.062907,0.031092,0.166305,0,0.033984,0.033247,1
19,0.008,0,0.046154,0.055385,0,0.018462,0,0.012308,0.018462,0.006154,0.055385,0.061538,0.052308,0.123077,0,0.126154,0.019934,0
20,0.012,0,0.049479,0.057292,0.005208,0.026042,0.005208,0.010417,0,0,0.028646,0.057292,0.041667,0.164063,0,0.09375,0.026071,1
21,0.105,0,0.006944,0.0625,0,0.017361,0.003472,0.003472,0,0.013889,0.045139,0.079861,0.024306,0.111111,0,0.072917,0.020189,0
22,0.095,0,0.056872,0.099526,0,0.033175,0,0.009479,0.009479,0.014218,0.052133,0.028436,0.047393,0.146919,0,0.127962,0.006944,0
23,0.01,0,0.035785,0.039761,0.013917,0.021869,0,0.007952,0.019881,0.015905,0.043738,0.067594,0.045726,0.097416,0,0.125249,0.010003,1
