@relation Training-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute ID numeric
@attribute score_tag {P,N,NEU,NONE,P+,N+}
@attribute agreement {DISAGREEMENT,AGREEMENT}
@attribute subjectivity {SUBJECTIVE,OBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute happy numeric
@attribute angry numeric
@attribute bored numeric
@attribute fear numeric
@attribute sad numeric
@attribute excited numeric
@attribute spam numeric
@attribute news numeric
@attribute feedback numeric
@attribute marketing numeric
@attribute query numeric
@attribute word_count numeric
@attribute words_per_sentence numeric
@attribute sentence_count numeric
@attribute six_plus_words numeric
@attribute emojis numeric
@attribute emoticons numeric
@attribute hashtags numeric
@attribute urls numeric
@attribute analytical_thinking numeric
@attribute authentic numeric
@attribute clout numeric
@attribute emotional_tone numeric
@attribute dictionary_words numeric
@attribute achievement numeric
@attribute adjectives numeric
@attribute adverbs numeric
@attribute affect numeric
@attribute affiliation numeric
@attribute all_punctuation numeric
@attribute anger_words numeric
@attribute anxiety_words numeric
@attribute apostrophes numeric
@attribute articles numeric
@attribute assent numeric
@attribute auxiliary_verbs numeric
@attribute biological_processes numeric
@attribute body numeric
@attribute causation numeric
@attribute certainty numeric
@attribute cognitive_processes numeric
@attribute colons numeric
@attribute commas numeric
@attribute comparisons numeric
@attribute conjunctions numeric
@attribute dashes numeric
@attribute death numeric
@attribute differentiation numeric
@attribute discrepancies numeric
@attribute drives numeric
@attribute exclamations numeric
@attribute family numeric
@attribute feel numeric
@attribute female numeric
@attribute filler_words numeric
@attribute focus_future numeric
@attribute focus_past numeric
@attribute focus_present numeric
@attribute friends numeric
@attribute function_words numeric
@attribute health numeric
@attribute hear numeric
@attribute home numeric
@attribute i numeric
@attribute impersonal_pronouns numeric
@attribute informal_language numeric
@attribute ingestion numeric
@attribute insight numeric
@attribute interrogatives numeric
@attribute leisure numeric
@attribute male numeric
@attribute money numeric
@attribute motion numeric
@attribute negations numeric
@attribute negative_emotion_words numeric
@attribute netspeak numeric
@attribute nonfluencies numeric
@attribute numbers numeric
@attribute other_grammar numeric
@attribute other_punctuation numeric
@attribute parentheses numeric
@attribute perceptual_processes numeric
@attribute periods numeric
@attribute personal_concerns numeric
@attribute personal_pronouns numeric
@attribute positive_emotion_words numeric
@attribute power numeric
@attribute prepositions numeric
@attribute pronouns numeric
@attribute quantifiers numeric
@attribute question_marks numeric
@attribute quotes numeric
@attribute relativity numeric
@attribute religion numeric
@attribute reward numeric
@attribute risk numeric
@attribute sad_words numeric
@attribute see numeric
@attribute semicolons numeric
@attribute sexual numeric
@attribute she_he numeric
@attribute social numeric
@attribute space numeric
@attribute swear_words numeric
@attribute tentative numeric
@attribute they numeric
@attribute time numeric
@attribute time_orientation numeric
@attribute verbs numeric
@attribute we numeric
@attribute work numeric
@attribute you numeric
@attribute admiration_count numeric
@attribute amusement_count numeric
@attribute anger_count numeric
@attribute boredom_count numeric
@attribute calmness_count numeric
@attribute curiosity_count numeric
@attribute desire_count numeric
@attribute disgust_count numeric
@attribute excitement_count numeric
@attribute fear_count numeric
@attribute gratitude_count numeric
@attribute joy_count numeric
@attribute love_count numeric
@attribute pain_count numeric
@attribute sadness_count numeric
@attribute surprise_count numeric
@attribute goodfeel_count numeric
@attribute ambifeel_count numeric
@attribute badfeel_count numeric
@attribute emotionality_count numeric
@attribute sentiment_count numeric
@attribute admiration_score numeric
@attribute amusement_score numeric
@attribute anger_score numeric
@attribute boredom_score numeric
@attribute calmness_score numeric
@attribute curiosity_score numeric
@attribute desire_score numeric
@attribute disgust_score numeric
@attribute excitement_score numeric
@attribute fear_score numeric
@attribute gratitude_score numeric
@attribute joy_score numeric
@attribute love_score numeric
@attribute pain_score numeric
@attribute sadness_score numeric
@attribute surprise_score numeric
@attribute goodfeel_score numeric
@attribute ambifeel_score numeric
@attribute badfeel_score numeric
@attribute emotionality_score numeric
@attribute sentiment_score numeric
@attribute non_emotion_score numeric
@attribute emotion_word_count numeric
@attribute Class {0,1}

@data
1,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.220927,0.20028,0.050861,0.127192,0.137101,0.169851,0.061,0.706,0.038,0.179,0.016,847,24.2,35,0.306966,0,0,0,0,78.471942,21.631363,72.243959,18.780338,0.79575,0.01889,0.040142,0.050767,0.025974,0.029516,0.140496,0.003542,0.002361,0.028335,0.077922,0,0.069658,0.004723,0.001181,0.009445,0.008264,0.100354,0.001181,0.0366,0.025974,0.050767,0.009445,0,0.0366,0.005903,0.083825,0,0.001181,0.002361,0,0,0.007084,0.044864,0.001181,0.001181,0.492326,0.001181,0.005903,0.007084,0.002361,0.077922,0.004723,0.001181,0.028335,0.014168,0.008264,0.024793,0.007084,0.015348,0.021251,0.015348,0.003542,0.001181,0.015348,0.20307,0.010626,0.002361,0.020071,0.043684,0.070838,0.046045,0.010626,0.029516,0.139315,0.123967,0.007084,0,0.007084,0.126328,0.005903,0.007084,0.005903,0,0.011806,0.001181,0.001181,0.024793,0.108619,0.070838,0,0.022432,0.008264,0.042503,0.133412,0.127509,0.009445,0.046045,0.001181,23,0,24,7,1,0,10,18.375,4.83,34.375,8,9,4,0,23,0,42.83,10,72.375,125.205,42.83,0.465046,0,0.475648,0.209221,0.03642,0,0.274292,0.409859,0.154375,0.565076,0.23217,0.253825,0.13133,0,0.404881,0,0.046093,0.010762,0.077889,0.134744,-0.61229,0.865256,43,1
2,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.089606,0.186209,0.076196,0.269986,0.275841,0.102161,0.115,0.324,0.408,0.068,0.085,706,20.764706,34,0.311615,0,0,0,0,91.531566,13.737652,89.353799,25.774194,0.835694,0.018414,0.053824,0.049575,0.05949,0.016997,0.165722,0.016997,0.001416,0.007082,0.094901,0,0.035411,0.005666,0.002833,0.014164,0.018414,0.106232,0,0.049575,0.029745,0.050992,0,0,0.021246,0.012748,0.087819,0,0.005666,0.004249,0.050992,0,0.009915,0.042493,0.001416,0.001416,0.492918,0.001416,0.012748,0.001416,0.009915,0.043909,0.002833,0.001416,0.029745,0.022663,0.002833,0.004249,0.002833,0.009915,0.009915,0.029745,0.001416,0.001416,0.021246,0.206799,0.008499,0.002833,0.026912,0.042493,0.046742,0.083569,0.029745,0.036827,0.161473,0.127479,0.012748,0.005666,0.049575,0.140227,0,0.009915,0.016997,0.007082,0.007082,0,0,0.043909,0.145892,0.07932,0,0.01983,0.009915,0.053824,0.11898,0.096317,0.008499,0.03966,0.011331,25,0,72,3,4,15,4,14,25,30,16.5,18.125,48,0,25,0,108.125,25,114,243.125,108.125,0.489459,0,0.734118,0.103175,0.132993,0.36517,0.132993,0.349329,0.489459,0.534981,0.387535,0.410051,0.647976,0,0.44608,0,0.121608,0.028118,0.128216,0.273443,-0.241629,0.726557,60,0
3,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.056084,0.337662,0.123161,0.188343,0.228422,0.066328,0.056,0.376,0.183,0.083,0.302,1271,20.836066,61,0.345397,0,0,0,0,85.884959,19.745359,70.379717,49.177026,0.826908,0.01967,0.055862,0.040126,0.073171,0.018883,0.174666,0.018096,0.004721,0.004721,0.084972,0.000787,0.063729,0.007868,0.003147,0.025964,0.020456,0.140834,0.001574,0.062156,0.027537,0.059795,0.007081,0.003934,0.028324,0.017309,0.096774,0,0,0.004721,0,0,0.012589,0.028324,0.001574,0.001574,0.481511,0.001574,0.000787,0.000787,0.000787,0.061369,0.011015,0.001574,0.036979,0.01967,0.001574,0.003934,0.006294,0.015736,0.013375,0.029898,0.007081,0.00236,0.012589,0.218725,0.011015,0.007081,0.014949,0.054288,0.070024,0.045633,0.042486,0.049567,0.140047,0.107002,0.010228,0.003147,0.023603,0.114083,0.000787,0.010228,0.008655,0.00236,0.007081,0,0.000787,0.003934,0.075531,0.066876,0.000787,0.029111,0.01967,0.032258,0.118017,0.123525,0.009441,0.059795,0.011802,138.075,0,117.75,0,23.125,8,52.5,27,2.83,75.025,17,21.875,15,3,138.075,0,210.905,63.75,197.775,467.43,210.905,0.798105,0,0.771228,0,0.398339,0.186356,0.600491,0.435987,0.07495,0.682334,0.327373,0.3851,0.30043,0.079096,0.327373,0,0.130799,0.039537,0.122656,0.289892,0.347096,0.710108,126,1
4,N,DISAGREEMENT,OBJECTIVE,84,NONIRONIC,0.04448,0.249139,0.084331,0.223565,0.327372,0.071112,0.064,0.634,0.193,0.023,0.086,562,20.071429,28,0.352313,0,0,0,0,96.290399,31.746823,83.171352,1,0.790036,0.014235,0.044484,0.016014,0.05516,0.02847,0.106762,0.037367,0.003559,0.005338,0.106762,0,0.072954,0.014235,0.003559,0.012456,0.001779,0.046263,0.001779,0.019573,0.02669,0.035587,0.007117,0.030249,0.017794,0,0.087189,0,0.003559,0.001779,0,0,0.001779,0.065836,0,0,0.466192,0.014235,0.014235,0.008897,0.003559,0.042705,0.001779,0,0.007117,0.016014,0.003559,0.017794,0.001779,0.005338,0.007117,0.046263,0.001779,0,0.044484,0.217082,0.007117,0.005338,0.019573,0.049822,0.074733,0.044484,0.008897,0.046263,0.153025,0.087189,0.019573,0,0.010676,0.163701,0.005338,0,0.005338,0.007117,0.003559,0,0,0.010676,0.101423,0.101423,0,0.007117,0.007117,0.058719,0.097865,0.106762,0.021352,0.02669,0.001779,7,0,190,7,0,0,0,5,0,57,2,5,9,12,7,0,18,0,225,243,18,0.228278,0,0.889245,0.228278,0,0,0,0.174433,0,0.706632,0.077929,0.174433,0.27553,0.336471,0.567098,0,0.024129,0,0.301609,0.325737,-0.925209,0.674263,59,1
5,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.045455,0.29551,0.035179,0.23742,0.306869,0.080184,0.018,0.864,0.079,0.01,0.028,153,38.25,4,0.366013,0,0,0,0,97.475618,1.08918,83.659804,37.325829,0.745098,0,0.013072,0.039216,0.006536,0.013072,0.169935,0,0,0.013072,0.130719,0,0.058824,0,0,0,0.013072,0.039216,0,0.065359,0.006536,0.019608,0.006536,0.013072,0.006536,0,0.078431,0,0.013072,0,0.052288,0,0,0.078431,0,0,0.431373,0,0,0.013072,0,0.039216,0,0,0.013072,0.019608,0.013072,0.006536,0,0.013072,0.019608,0,0,0,0.03268,0.169935,0.019608,0,0.013072,0.03268,0.091503,0.03268,0.006536,0.052288,0.143791,0.071895,0,0,0.03268,0.071895,0.006536,0,0.013072,0,0.013072,0,0,0.019608,0.124183,0.019608,0,0.006536,0.013072,0.039216,0.098039,0.104575,0,0.045752,0,5,0,19,0,0,0,0,0,0,29,0,0,0,0,5,0,5,0,34,39,5,0.35857,0,0.679925,0,0,0,0,0,0,0.764279,0,0,0,0,0.64143,0,0.027322,0,0.185792,0.213115,-0.820959,0.786885,9,1
6,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.172216,0.23499,0.06539,0.156412,0.09967,0.299519,0.106,0.606,0.215,0.053,0.019,211,10.55,20,0.293839,0,0,0,0,62.244239,14.6513,73.103791,89.340629,0.810427,0.023697,0.023697,0.028436,0.052133,0.009479,0.274882,0.004739,0.004739,0.052133,0.075829,0,0.099526,0.018957,0,0.028436,0.009479,0.137441,0.004739,0.052133,0.018957,0.056872,0,0,0.042654,0.037915,0.07109,0.004739,0,0,0,0,0.028436,0.047393,0,0,0.49763,0.014218,0.023697,0,0,0.061611,0.009479,0,0.037915,0.004739,0.009479,0.033175,0,0.014218,0.028436,0.004739,0.009479,0,0.004739,0.246445,0.018957,0,0.028436,0.085308,0.014218,0.080569,0.042654,0.033175,0.113744,0.14218,0.004739,0,0.056872,0.137441,0,0.028436,0.004739,0,0.004739,0,0,0.033175,0.127962,0.090047,0,0.042654,0.042654,0.033175,0.194313,0.208531,0,0.004739,0.004739,2,0,19,0,0,0,1,6,9,14,6,15,9.73,0,2,0,35.73,1,32,65.73,35.73,0.090909,0,0.487179,0,0,0,0.047619,0.230769,0.310345,0.411765,0.230769,0.428571,0.327279,0,0.047619,0,0.140819,0.003941,0.126118,0.259055,0.208705,0.740945,23,0
7,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.104218,0.101705,0.11273,0.401049,0.136635,0.193062,0.265,0.229,0.324,0.028,0.153,512,20.48,25,0.257813,0,0,0,0,98.052997,25.194556,77.688447,81.932432,0.777344,0.007813,0.042969,0.037109,0.03125,0.005859,0.132813,0,0,0.027344,0.101563,0.003906,0.033203,0.023438,0.017578,0.013672,0.013672,0.046875,0,0.021484,0.017578,0.042969,0.015625,0.001953,0.001953,0.001953,0.044922,0.001953,0,0.009766,0.001953,0,0.007813,0.009766,0,0,0.435547,0.001953,0.005859,0.005859,0,0.039063,0.003906,0,0.007813,0.015625,0.013672,0.046875,0.003906,0.046875,0.001953,0,0,0,0.042969,0.201172,0.003906,0,0.066406,0.042969,0.035156,0.042969,0.03125,0.021484,0.175781,0.082031,0.011719,0.003906,0.015625,0.195313,0,0.017578,0,0,0.050781,0,0,0.033203,0.074219,0.089844,0,0.011719,0.003906,0.064453,0.082031,0.095703,0,0.009766,0.005859,23.08,0,3,4,18,10.7,0,0,28,4,8.73,28.455,49,0,23.08,0,128.535,10.7,14,149.885,128.535,0.507915,0,0.118293,0.151741,0.445979,0.323647,0,0,0.555989,0.151741,0.280792,0.559965,0.686653,0,0.238414,0,0.202773,0.01688,0.022086,0.236455,0.878697,0.763545,28,1
8,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.309461,0.115673,0.033148,0.095183,0.056917,0.491201,0.043,0.649,0.102,0.197,0.009,831,25.181818,33,0.345367,0,0,0,0,95.706712,9.45968,86.589128,73.01793,0.794224,0.033694,0.056558,0.030084,0.038508,0.026474,0.163658,0,0.002407,0.01444,0.091456,0,0.054152,0.004813,0.002407,0.018051,0.00722,0.072202,0.001203,0.064982,0.021661,0.050542,0,0,0.013237,0.015644,0.12515,0,0.00361,0.00722,0.00361,0,0.009627,0.043321,0,0,0.438026,0.002407,0.00722,0,0.001203,0.039711,0.001203,0,0.006017,0.016847,0.006017,0.046931,0.016847,0.019254,0.002407,0.006017,0,0.001203,0.032491,0.233454,0.002407,0.001203,0.024067,0.063779,0.069795,0.038508,0.031288,0.072202,0.155235,0.078219,0.021661,0,0.015644,0.150421,0.002407,0.008424,0.002407,0.00361,0.015644,0,0,0.024067,0.116727,0.085439,0,0.01444,0.002407,0.045728,0.115523,0.113117,0.006017,0.057762,0.004813,34,0,7,3.5,2,3.3,16.875,13.425,14.65,24.375,8.95,23.725,33.225,0,34,0.325,109.55,21.175,51.8,175.9,109.55,0.569605,0,0.21413,0.119902,0.072227,0.113831,0.396448,0.343215,0.363159,0.486863,0.258368,0.480113,0.563944,0,0.487375,0.012493,0.114484,0.022129,0.054133,0.183823,0.76071,0.816177,50,0
9,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.209471,0.133818,0.064274,0.211267,0.142639,0.238531,0.089,0.615,0.211,0.071,0.015,1440,19.726027,73,0.284722,0,0,0,0,68.590136,9.090709,85.286616,90.210923,0.858333,0.033333,0.050694,0.03125,0.051389,0.044444,0.105556,0.002083,0.004167,0.003472,0.059722,0,0.095833,0.00625,0,0.01875,0.033333,0.126389,0,0.031944,0.032639,0.065972,0,0.001389,0.025694,0.032639,0.129167,0,0.000694,0.000694,0,0,0.020833,0.015278,0.002778,0.002778,0.526389,0.005556,0.004167,0.004167,0.017361,0.060417,0,0,0.011806,0.013194,0.002083,0.006944,0.017361,0.022222,0.010417,0.00625,0,0,0.011806,0.24375,0.015278,0,0.010417,0.05,0.070833,0.082639,0.045139,0.044444,0.145139,0.143056,0.028472,0.004861,0,0.109722,0.010417,0.026389,0.002083,0,0.004167,0,0,0.002083,0.109722,0.065278,0,0.027083,0.014583,0.023611,0.154861,0.146528,0.030556,0.044444,0.018056,124.125,0,32,2,27.625,11,44,15,46.625,40,47.625,29,68,3,124.125,3,282,60,87,425,282,0.764623,0,0.455776,0.049739,0.41961,0.223532,0.535215,0.281902,0.549597,0.511444,0.554844,0.431484,0.640241,0.072798,0.320228,0.072798,0.162818,0.034642,0.050231,0.245381,0.878305,0.754619,133,0
10,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.171111,0.191955,0.063465,0.186888,0.140058,0.246523,0.025,0.895,0.05,0.024,0.005,1746,17.117647,102,0.327606,0,0,0,0,96.559287,10.979263,87.514342,44.658557,0.777778,0.022337,0.045246,0.021764,0.033219,0.022337,0.201604,0.004009,0.001718,0.011455,0.091065,0.000573,0.052692,0.004009,0,0.008591,0.005155,0.065865,0.001718,0.062428,0.019473,0.042383,0,0.000573,0.019473,0.012027,0.145475,0.000573,0.001718,0.001718,0.001718,0,0.0126,0.061283,0.001145,0.001145,0.41638,0.002291,0.015464,0.005155,0.005727,0.02291,0.005727,0.001718,0.013173,0.011455,0.0063,0.077892,0.010882,0.0189,0.008591,0.010309,0.005155,0,0.017182,0.197595,0.003436,0.002291,0.0252,0.099656,0.080183,0.045246,0.020619,0.091638,0.148339,0.068156,0.010309,0.001718,0.018328,0.143184,0,0.011455,0.0063,0.001145,0.006873,0,0,0.033219,0.144903,0.082474,0,0.017755,0.002291,0.042955,0.117984,0.113975,0.001718,0.063574,0.002291,35,0,87.2,0,67,17.125,35,42,3.73,42,36,24,46,0,35,7,205.73,58.125,177.2,415.055,205.73,0.436592,0,0.658778,0,0.597327,0.274918,0.436592,0.481837,0.076284,0.481837,0.443534,0.346989,0.504572,0,0.317382,0.134186,0.100012,0.028256,0.086143,0.201771,0.471824,0.798229,104,0
