ID,Class
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,1
14,1
15,1
16,0
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,1
29,1
30,1
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,0
41,0
42,0
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,1
56,1
57,1
58,1
59,1
60,0
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,0
69,1
70,1
71,1
72,1
73,1
74,0
75,1
76,0
77,1
78,1
79,1
80,1
81,1
82,0
83,1
84,0
85,0
86,0
87,1
88,1
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,1
101,0
102,0
103,0
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,0
113,1
114,0
115,0
116,0
117,1
118,1
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,1
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,0
