@relation 'Training-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute happy numeric
@attribute angry numeric
@attribute bored numeric
@attribute fear numeric
@attribute sad numeric
@attribute Class {0,1}

@data
0.089606,0.186209,0.076196,0.269986,0.275841,0
0.172216,0.23499,0.06539,0.156412,0.09967,0
0.309461,0.115673,0.033148,0.095183,0.056917,0
0.209471,0.133818,0.064274,0.211267,0.142639,0
0.171111,0.191955,0.063465,0.186888,0.140058,0
0.155348,0.225764,0.053375,0.157367,0.08775,0
0.13006,0.199084,0.111385,0.242817,0.189353,0
0.13189,0.178091,0.138457,0.188688,0.18369,0
0.192752,0.231795,0.048587,0.169729,0.162005,0
0.11643,0.339741,0.05156,0.163611,0.114317,0
0.180819,0.144107,0.053199,0.250946,0.146916,0
0.214787,0.260293,0.0414,0.146223,0.136715,0
0.056604,0.279022,0.015708,0.315871,0.214321,0
0.171216,0.294123,0.048576,0.145573,0.103423,0
0.146625,0.275487,0.065935,0.155206,0.159281,0
0.125794,0.2757,0.064622,0.170875,0.133083,0
0.139357,0.172011,0.216261,0.221772,0.152171,0
0.174735,0.222108,0.044269,0.169547,0.14347,0
0.088937,0.246645,0.068754,0.197598,0.261222,0
0.09662,0.357581,0.109151,0.154518,0.127648,0
0.094384,0.425771,0.067819,0.118713,0.12899,0
0.079555,0.233273,0.02277,0.361386,0.207288,0
0.191558,0.136882,0.027205,0.233564,0.260278,0
0.068017,0.345118,0.048627,0.18414,0.249418,0
0.127029,0.105154,0.09426,0.288,0.151199,0
0.045386,0.467764,0.071437,0.153022,0.177552,0
0.041222,0.355168,0.058354,0.171824,0.302415,0
0.09664,0.480635,0.047491,0.126103,0.095127,0
0.21888,0.105619,0,0.209116,0.0806,0
0.149087,0.201263,0.054359,0.214225,0.194719,0
0.043237,0.434267,0.118759,0.128052,0.221562,0
0.083376,0.255786,0.054225,0.256506,0.198125,0
0.162612,0.124957,0.060108,0.275412,0.166181,0
0.093209,0.180395,0.018282,0.313426,0.271571,0
0.068169,0.156484,0.075471,0.3402,0.232202,0
0.168854,0.145845,0.07905,0.213881,0.181176,0
0.279015,0.130824,0.062833,0.230326,0.059661,0
0.044319,0.262869,0.065234,0.305359,0.202875,0
0.37276,0.133553,0.011971,0.10846,0.035292,0
0.163291,0.290822,0.054926,0.12343,0.138338,0
0.128315,0.230522,0.058916,0.202964,0.216852,0
0.081462,0.236124,0.11844,0.217242,0.249265,0
0.150604,0.26241,0.058282,0.198077,0.133516,0
0.281461,0.15837,0.03664,0.138856,0.073055,0
0.086585,0.118368,0.012109,0.403775,0.140633,0
0.133246,0.162749,0.131996,0.252013,0.141382,0
0.122528,0.260044,0.045958,0.191277,0.165455,0
0.086228,0.268235,0.110527,0.217981,0.190952,0
0.128859,0.200571,0.109012,0.2186,0.190197,0
0.260387,0.165204,0.050414,0.085431,0.046343,0
0.269768,0.036273,0.006442,0.040737,0.026423,0
0.056665,0.169477,0.267983,0.198319,0.177691,0
0.320517,0.067178,0.071117,0.158181,0.071202,0
0.149557,0.211805,0.140643,0.173339,0.145421,0
0.153141,0.254343,0.073852,0.167632,0.098233,0
0.516256,0.067896,0.018149,0.085795,0.064655,0
0.336734,0.053501,0,0.185754,0.06594,0
0.182454,0.138663,0.034709,0.201646,0.106848,0
0.081299,0.199346,0.1377,0.226419,0.209284,0
0.0639,0.2645,0.121862,0.182765,0.229846,0
0.130995,0.154481,0.073668,0.206721,0.303702,0
0.089159,0.106944,0.044715,0.129374,0.518143,0
0.059905,0.299785,0.083593,0.159874,0.316445,0
0.091302,0.221245,0.141458,0.291719,0.129991,0
0.12705,0.132762,0.04526,0.287342,0.235607,0
0.156694,0.248766,0.044031,0.200792,0.206544,0
0.19703,0.17096,0.10647,0.186233,0.144722,0
0.121583,0.224489,0.172977,0.215527,0.157793,0
0.051885,0.301976,0.062504,0.199603,0.306384,0
0.209569,0.146368,0.084058,0.192814,0.163377,0
0.111801,0.271964,0.13575,0.157993,0.158715,0
0.152734,0.268492,0.035788,0.124111,0.160607,0
0.108645,0.33775,0.104875,0.15866,0.150677,0
0.112313,0.248687,0.083745,0.18511,0.200478,0
0.207799,0.196445,0.038034,0.151363,0.091768,0
0.094893,0.201821,0.161857,0.203071,0.16892,0
0.244039,0.166398,0.082291,0.149085,0.124488,0
0.060391,0.165318,0.121841,0.219621,0.356836,0
0.032542,0.257836,0.052664,0.295499,0.269104,0
0.224735,0.239257,0.038451,0.107776,0.085338,0
0.107535,0.301627,0.038624,0.171559,0.266559,0
0.168008,0.235472,0.05569,0.180475,0.159987,0
0.100936,0.337844,0.077463,0.151107,0.175095,0
0.071438,0.175189,0.125703,0.378871,0.044021,0
0.057077,0.323226,0.046819,0.16506,0.337182,0
0.186104,0.184295,0.040672,0.187716,0.088201,0
