happy,angry,bored,fear,sad,Class
0.220926713,0.200280017,0.050860928,0.127192179,0.137100732,1
0.089605743,0.186209282,0.076196199,0.269985999,0.275841404,0
0.056083918,0.337662481,0.123160872,0.188343289,0.228421734,1
0.044480133,0.249139457,0.08433114,0.223564722,0.327372132,1
0.045455429,0.295509559,0.035178709,0.237420396,0.306869279,1
0.172215675,0.234989871,0.065389575,0.156412464,0.099669822,0
0.10421782,0.101705184,0.112729979,0.401048651,0.136634849,1
0.309461283,0.115672523,0.033147805,0.095182916,0.05691702,0
0.209470841,0.133818498,0.064274173,0.211267222,0.142638726,0
0.171111338,0.191954514,0.063464889,0.18688816,0.140058474,0
0.155347985,0.225763592,0.053375155,0.15736668,0.08775013,0
0.130059976,0.199083775,0.111385188,0.242816998,0.189353481,0
0.080656315,0.260295773,0.097083484,0.204485985,0.184203872,1
0.09400314,0.304144715,0.065423102,0.189300456,0.137466752,1
0.131890049,0.17809056,0.138457186,0.188688349,0.183690311,0
0.192751958,0.231795029,0.048587285,0.169728848,0.162005483,0
0.1835804,0.168309133,0.094217761,0.14262738,0.20686374,1
0.079988341,0.352512509,0.023401708,0.187973408,0.082403401,1
0.116430204,0.33974117,0.051560081,0.163611399,0.114317127,0
0.071770276,0.396142581,0.045799453,0.18282175,0.199315417,1
0.180818939,0.144107474,0.053199154,0.250946433,0.146915605,0
0.214786883,0.26029294,0.041400008,0.14622312,0.136715145,0
0.049790387,0.395340424,0.11052447,0.183459495,0.155621249,1
0.056603815,0.279021664,0.015708321,0.315870873,0.214320503,0
0.141958234,0.248130519,0.048989502,0.20186258,0.089724131,1
0.171215905,0.294122568,0.048576113,0.14557335,0.103423003,0
0.059960393,0.319318294,0.110398116,0.209244555,0.164174288,1
0.146625135,0.275486506,0.065934654,0.155205766,0.159280828,0
0.1257944,0.2757002,0.064621675,0.170875407,0.133082867,0
0.287419387,0.174070153,0.028707055,0.185902581,0.118409656,1
0.139356997,0.172010706,0.21626073,0.221772431,0.152170587,0
0.174734905,0.222107727,0.044269413,0.169546909,0.14347008,0
0.088937244,0.246644983,0.06875442,0.197598311,0.261222008,0
0.096620435,0.357580882,0.109151371,0.154517863,0.127648469,0
0.032019372,0.364055803,0.096586868,0.181100798,0.248609987,1
0.129781466,0.154064997,0.112489245,0.26127405,0.127817217,1
0.094383549,0.425771474,0.067818718,0.118713184,0.12898963,0
0.079554766,0.233273275,0.02277008,0.361385996,0.207288145,0
0.191558323,0.136881897,0.027205043,0.233563801,0.260278305,0
0.16203773,0.13675086,0.057415782,0.274108107,0.160168485,1
0.06801734,0.345117695,0.048627167,0.184139862,0.249418224,0
0.140442259,0.413525264,0.050115165,0.125296744,0.147089423,1
0.127028648,0.105154236,0.094260113,0.288000357,0.15119913,0
0.045386017,0.467763634,0.071437396,0.153021992,0.177552141,0
0.388186724,0.060220054,0.041473408,0.094568664,0.094495977,1
0.041222076,0.355167855,0.058353625,0.171823633,0.302415238,0
0.207147104,0.144447029,0.072002119,0.170229748,0.080080368,1
0.306161459,0.11277117,0.058296765,0.171460958,0.130021782,1
0.096640195,0.480635175,0.047491211,0.12610305,0.095127288,0
0.218880341,0.105618631,0,0.209115563,0.08059983,0
0.149087246,0.20126284,0.054359148,0.214225101,0.194718529,0
0.043237141,0.434266536,0.118759082,0.128052272,0.221562385,0
0.203213101,0.16967877,0.106103711,0.199716196,0.122060357,1
0.083375509,0.255785589,0.05422493,0.256505696,0.198124835,0
0.162612327,0.124957144,0.060108179,0.275412054,0.166180608,0
0.201351045,0.188373305,0.029892232,0.160404272,0.177908544,1
0.0932092,0.18039476,0.018282191,0.313425846,0.27157064,0
0.180758838,0.184487134,0.059531946,0.181325649,0.08807589,1
0.123064298,0.102431565,0.052740747,0.359457364,0.211989769,1
0.140238367,0.226663096,0.0230258,0.103750893,0.069654197,1
0.035543287,0.407713667,0.047986544,0.195560854,0.25648481,1
0.068168962,0.15648434,0.075470923,0.340199613,0.232201793,0
0.168853761,0.145845308,0.07905042,0.213880781,0.181175604,0
0.279014661,0.130823687,0.062833031,0.230325972,0.059661364,0
0.044318679,0.262868618,0.065234119,0.305359407,0.202874529,0
0.372759986,0.133553475,0.011971146,0.108459702,0.035291787,0
0.16329061,0.290822375,0.054926109,0.123430308,0.138338262,0
0.163343762,0.306104699,0.07616359,0.148537206,0.112335225,1
0.128314962,0.230521745,0.058916482,0.202963525,0.216852165,0
0.081462466,0.236123595,0.118439853,0.217242094,0.249264595,0
0.150603817,0.262409693,0.058281785,0.198076813,0.133515755,0
0.281461054,0.158370236,0.036640016,0.138856306,0.073054792,0
0.086584655,0.118367958,0.012109378,0.403774594,0.140632522,0
0.099591417,0.29703726,0.090632229,0.11936954,0.272802653,1
0.1332465,0.162748821,0.131996462,0.252013376,0.141381515,0
0.047620407,0.242181279,0.083188475,0.276589827,0.240128968,1
0.122527894,0.260044407,0.04595819,0.191276551,0.165454871,0
0.086228368,0.26823506,0.11052742,0.217981086,0.190951891,0
0.077398518,0.364327437,0.068464698,0.180635188,0.20970384,1
0.248643526,0.197120745,0.024122058,0.135762494,0.04698726,1
0.128858519,0.200570515,0.109012149,0.21860043,0.190197023,0
0.260386518,0.165203886,0.050413674,0.0854314,0.046343211,0
0.18600386,0.162291589,0,0.322862947,0.152462332,1
0.26976797,0.036272528,0.006441607,0.040737026,0.026422832,0
0.056664653,0.169477075,0.267983088,0.198318903,0.177691018,0
0.073325707,0.311921502,0.05151285,0.221913166,0.203469782,1
0.155028671,0.263716646,0.03636678,0.160830345,0.164595707,1
0.32051692,0.067178097,0.071117359,0.158181169,0.071201503,0
0.149557134,0.211804584,0.140643154,0.173338591,0.145421091,0
0.153141214,0.254343226,0.073852386,0.167631993,0.098232652,0
0.516255953,0.067895686,0.018148556,0.085794533,0.064654988,0
0.274314836,0.143051046,0.026149557,0.074838733,0.02651614,1
0.106644994,0.258965548,0.074623279,0.211698209,0.098721978,1
0.33673395,0.053500737,0,0.185754486,0.065939664,0
0.182454233,0.138663304,0.034708858,0.201646179,0.106848071,0
0.081298933,0.19934589,0.137700287,0.226418565,0.209283859,0
0.063899787,0.26450003,0.121861602,0.182765423,0.229846097,0
0.130994838,0.154480948,0.073668231,0.206720938,0.30370202,0
0.134411429,0.106060792,0.367273279,0.181760191,0.154248374,1
0.089159185,0.106943656,0.044715237,0.129374413,0.518143019,0
0.059904929,0.299785031,0.083592719,0.159873731,0.316444963,0
0.061511132,0.452871239,0.034334292,0.121942061,0.159379686,1
0.022018272,0.62715459,0.038691105,0.115226661,0.148287155,1
0.091302292,0.221244857,0.141457935,0.291718732,0.129990593,0
0.127050026,0.132762161,0.045260423,0.287341836,0.235606706,0
0.056291659,0.457477471,0.091281738,0.13546642,0.171800387,1
0.156693775,0.248765829,0.04403125,0.200791961,0.206544249,0
0.197030427,0.17096036,0.106470328,0.186232694,0.144721805,0
0.121583082,0.224488613,0.172976929,0.215526598,0.15779348,0
0.051885462,0.301976222,0.062503903,0.19960256,0.306383727,0
0.180807485,0.154953098,0.040828964,0.168926868,0.164180707,1
0.209569205,0.146368275,0.084057622,0.192814011,0.163377103,0
0.111800961,0.271963785,0.135749694,0.157992576,0.158714602,0
0.29175578,0.212433664,0.022616117,0.077586771,0.085147143,1
0.152734408,0.268491733,0.035788098,0.124111355,0.160606959,0
0.077770711,0.125265745,0,0.138608535,0.515006043,1
0.108645373,0.337750043,0.104875126,0.158660166,0.150676952,0
0.112312693,0.248686909,0.083744841,0.185110249,0.20047848,0
0.187332577,0.206719974,0.076723616,0.106826654,0.054707854,1
0.207799169,0.196444752,0.038033962,0.15136277,0.091768273,0
0.09489274,0.20182058,0.161856615,0.203071126,0.168920376,0
0.244038817,0.166397971,0.082290943,0.149085107,0.124488032,0
0.060390878,0.165317785,0.121841043,0.219620733,0.356836025,0
0.088997037,0.288096209,0.021842815,0.275138864,0.243449951,1
0.194754774,0.139231923,0.059282129,0.198566608,0.123812643,1
0.216436632,0.081768417,0.01073412,0.080781706,0.020769413,1
0.032541856,0.257835922,0.052664097,0.295498948,0.269104446,0
0.224735159,0.23925727,0.038450878,0.107776373,0.085337603,0
0.109221763,0.340399117,0.063122755,0.164580071,0.194837516,1
0.107534891,0.301626764,0.038623832,0.171558954,0.266558631,0
0.092189923,0.273316398,0.127067453,0.199839677,0.200672857,1
0.168007565,0.235472039,0.055689566,0.180475029,0.159986984,0
