ID,Class
1,1
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,1
37,1
38,1
39,1
40,0
41,0
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,1
60,1
61,0
62,1
63,1
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,0
81,1
82,1
83,1
84,0
85,0
86,1
87,1
88,1
89,0
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,0
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,1
119,0
120,1
121,0
122,1
123,1
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,1
134,1
135,0
136,0
137,0
138,1
139,0
140,1
141,0
142,1
143,0
144,1
145,1
146,0
147,0
148,1
149,1
150,1
