ID,Class
1,1
2,0
3,1
4,1
5,1
6,0
7,1
8,0
9,0
10,1
11,1
12,0
13,1
14,0
15,0
16,1
17,1
18,1
19,1
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,1
29,0
30,0
31,0
32,1
33,0
34,1
35,0
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,1
46,1
47,0
48,1
49,0
50,1
51,1
52,0
53,1
54,1
55,0
56,0
57,1
58,0
59,0
60,1
61,1
62,1
63,1
64,0
65,0
66,1
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,1
82,1
83,1
84,0
85,0
86,1
87,0
88,1
89,0
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,1
118,0
119,0
120,1
121,0
122,0
123,1
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,0
147,0
148,1
149,1
150,1
