ID,Text,Class,score_tag,agreement,subjectivity,confidence,irony,happy,angry,bored,fear,sad,excited
234,"Pregnancy changes a woman’s brain, altering the size and structure of areas involved in perceiving the feelings and perspectives of others, according to a     study published Monday. Most of these changes remained two years after giving birth, at least into the babies’ toddler years. And the more pronounced the brain changes, the higher mothers scored on a measure of emotional attachment to their babies. “Just fascinating,” said Dr. Ronald E. Dahl, director of the Institute of Human Development at the University of California, Berkeley, who was not involved in the study, published in the journal Nature Neuroscience. He said the researchers’ interpretation that changes in the brain enhance women’s maternal responses is “provocative, and I think it’s likely to be true. ” In the study, researchers scanned the brains of women who had never conceived before, and again after they gave birth for the first time. The results were remarkable: loss of gray matter in several brain areas involved in a process called social cognition or “theory of mind,” the ability to register and consider how other people perceive things. What might the loss mean? There are three possibilities, said Paul Thompson, a neuroscientist at the University of Southern California who was not involved in the study. “The most intuitive is that losing gray matter is not beneficial, that later on there may be negative consequences. ” Or, he said, it could be just a “neutral” reflection of   “stress, diet, lack of sleep. ” A third possibility is that the loss is “part of the brain’s program for dealing with the future,” he said. Hormone surges in pregnancy might cause “pruning or cellular adaptation that is helpful,” he said, streamlining certain brain areas to be more efficient at mothering skills “from nurturing to extra vigilance to teaching. ” The study strongly leans toward the third possibility. “We certainly don’t want to put a message out there on the lines of ‘pregnancy makes you lose your brain,’ as we don’t believe this is the case,” said Elseline Hoekzema, a researcher at Leiden University in the Netherlands, who led the study at the Universitat Autonoma de Barcelona in Spain. “Gray matter volume loss does not necessarily represent a bad thing,” she said. “It can also represent a beneficial process of maturation or specialization. ” Pregnancy, she explained, may help a woman’s brain specialize in “a mother’s ability to recognize the needs of her infant, to recognize social threats or to promote   bonding. ” The study, which took more than five years, involved 25 women in their 30s in Spain who had never been pregnant but were hoping to conceive. Their brains were scanned before becoming pregnant and within few months after giving birth. For comparison, 20 women who had never been pregnant were also scanned twice, about the same number of months apart. Only the pregnant women showed gray matter reduction, thinning and changes in the surface area of the cortex in areas related to social cognition. Changes were so clear that imaging results alone could indicate which women had been pregnant. The researchers said they did not yet know what was being reduced in size: neurons, other brain cells, synapses or parts of the circulatory system. Many of the women had been recruited for the study at a fertility clinic, and the 16 who conceived after fertility treatment were compared with nine who conceived naturally. The treatments caused no difference in brain changes nor did the sex of the babies. The researchers also scanned the brains of 17 men who were not fathers and 19   fathers before and after their partners’ pregnancies. The two male groups showed no difference in brain volume. Researchers wanted to see if the women’s brain changes affected anything related to mothering. They found that relevant brain regions in mothers showed more activity when women looked at photos of their own babies than with photos of other children. Six months after giving birth, the mothers answered questions on the Maternal Postnatal Attachment Scale, used to assess a woman’s emotional attachment, pleasure and hostility toward her baby. The degree of changes in the mothers’ gray matter volume predicted the degree of hostility and attachment, Dr. Hoekzema said. Experts said more research was required, involving more women and clearer assessments of social cognition to substantiate whether gray matter loss is truly linked to “theory of mind” and improved mothering skills. But there are some precedents for making that connection. A 2014 study showed “people with better spontaneous ‘theory of mind’ also have less gray matter volume in pretty much exactly these regions,” said Rebecca Saxe, a professor of cognitive neuroscience at the Massachusetts Institute of Technology, who was not involved in the new research. During another period of roiling hormonal change  —   adolescence  —   gray matter decreases in several brain regions that are believed to provide   for the social, emotional and cognitive territory of being a teenager. “We think it is creating plasticity for learning, not that adolescent brains are wacko or making them crazy,” said Dr. Dahl of the University of California, Berkeley. Perhaps there is “a similar turbulent period around pregnancy,” he said. In the study, the women’s cognitive abilities were tested before and after pregnancy, and “there was no loss of memory, verbal skills or working memory,” Dr. Saxe noted, providing “evidence against the common myth of ‘mommy brain.’ ” Two years after they gave birth, scans of the brains of 11 women who had not had second children showed the same gray matter loss in the same areas, except for an area in the hippocampus, which had regained volume. Dr. Thompson said it was notable that the hippocampus, important in memory, appeared to recover, possibly because of all the learning and activity required of new mothers. “That boost in the memory system is something that many of us in neuroscience would give our eyeteeth to achieve,” he said. Brain areas lose volume “like the erosion of the coast, but there are not many things that put the coast back. ” Many questions remain. Pilyoung Kim, an assistant professor of developmental psychology at the University of Denver, who was not involved in the study, said her research had found that some brain regions increased in size in the months after giving birth. She said she wondered if maternal brain areas waxed and waned during and after pregnancy. Dr. Hoekzema is continuing the research, including in one very personal way. “I was pregnant with my first child when analyzing these data, but unfortunately I couldn’t get the before and after M. R. I. scans of my first pregnancy,” she said. Now, she is 20 weeks pregnant, with her second child. “Yes, I’ve certainly scanned myself before getting pregnant,” she said, “and will go into the scanner again after birth!”",0,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.1300513386,0.1546516962,0.0884036364,0.2620832876,0.2227148857,0.1420951555
235,"Refugee Manhunt After Family Found in Freezer in Denmark November 01, 2016 Refugee Manhunt After Family Found in Freezer in Denmark (COPENHAGEN) - The bodies of a Syrian woman and her two daughters, aged 7 and 9, have been found in a freezer in a town in Denmark and the woman's husband and refugee father of the children was being sought, Danish police said on Tuesday. The discovery was made on Sunday night in Aabenraa in southern Denmark. The family came to Denmark in summer 2015 and obtained refugee status, police said. A court on Monday pronounced the Syrian father, Hamid Farid Mohammed, ""imprisoned in absentia,"" meaning he should be detained immediately. Police said 33-year-old Mohammed fled Denmark on Friday into Germany and then flew to Turkey. Danish police said they were cooperating with the Turkish police to find him.",1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1834646306,0.1161800384,0.0271445665,0.2554626754,0.1138570895,0.3038909996
236,"Tuesday 8 November 2016 by Davywavy and Hubon Global markets turn red as Toblerone scandal unfolds Markets worldwide have opened down this morning after news of the redesign of Toblerone broke overnight. Concerns about the redesign weighed heavily on global markets causing a drop of almost 1% in early trading, with major indices in London, New York and Germany coming sharply off Monday’s highs. The Bank of England and the US Federal Reserve both rushed to reassure markets with statements confirming that interest rate hikes were ‘off the table’ until stability had been reestablished and the bar had the correct number of triangles again. Meanwhile, reports from Europe indicate that several countries have mobilised troops to mass on the Swiss border as international tensions were heightened by the change, with the United States ‘exploring options’ of how to send an aircraft carrier to the landlocked country. “This provocative move by the Swiss is completely at odds with both international treaty and law,” said Germany Armed Forces spokesman Simon Wilhelms. “If we don’t get a sensible number of triangles back pronto we’re going in shooting.” The Swiss National Bank is accused of stockpiling old-style bars before the announcement in order to capitalise upon demand after the fact. Mark Carney, Governor of the Bank of England made an unprecedented intervention in the row, saying that Switzerland’s actions were completely unreasonable now that the pound has reached parity with the chocolate coin. Get the best NewsThump stories in your mailbox every Friday, for FREE! There are currently ",1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.2441364996,0.1541349869,0.0285087186,0.1644112107,0.1475477136,0.2612608706
237,"By Brandon Turbeville As the floodwaters receded from Nichols, South Carolina and the surrounding areas, many residents made the emotional journey home to assess what little they had left, a good... ",1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1006388293,0.1016409309,0.0388483546,0.1301189878,0.5743894396,0.0543634579
238,Interwebs of Gaia energetics are strengthened.Creation plays its final piece.Standards of elementals are raised.Astronomicals reunite.Source: GaiaPortal ,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2455977222,0.187939464,0.0365245088,0.0794324711,0.1058494289,0.3446564049
239,"Thursday on MSNBC’s “Morning Joe,”   Joe Scarborough said President Donald Trump’s covfefe tweet was “like somebody pooping their pants” and then saying,  “I’m going to sit down in my pants, and it will then be modern art. ”  Scarborough also went after White House Press Secretary Sean Spicer comments about the tweet saying, “Trump has people doing that rhetorically in their pants every day. ”   Mika Brzezinski started the comparisons by saying, “It’s like kids mess in their pants and then say, ‘I meant to do that. ” Scarborough agreed, “Yes, it would be like somebody pooping their pants and people looking at it saying, ‘That’s modern art, don’t you understand? I am making a statement against Russian aggression in Crimea, and so this is my statement, and if you don’t get it something’s wrong with you and not me. ’” As Brzezinski laughed, Scarborough continued, “I am making a statement against Russian aggression in Crimea, and so this is my statement, and if you don’t get it something’s wrong with you and not me  …     And you know I’m going to make another statement and I’m going to sit down in my pants, and it will then be modern art and I will hang it on your wall. ” Brzezinski added,”That’s what covfefe, if anybody wants to know, that small group knows what covfefe is  —   poopy pants. ” When Brzezinski asked “How long is it going to go,” Scarborough said, “He does a verbal version of that every day, but it’s not just him. Unfortunately now Donald Trump has people doing that rhetorically in their pants every day. ” Follow Pam Key on Twitter @pamkeyNEN ",0,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.1432792188,0.157701781,0.0943886672,0.2738296521,0.147838476,0.1829622049
240,"We could talk about cooking as a function of chemistry and physics. Better to talk about elbow grease. Specifically, a physical theory of everyday cooking, The   Continuum. The premise is simple: You start with food, apply a variable equation of time and energy  —   guided perhaps, by a recipe  —   and sooner or later you have a meal. To eat sooner, you will have to expend more of your own energy if you’re willing to wait, then you have the luxury of letting heat serve as the primary energy, transforming the raw ingredients with minimal input from you. According to this hypothesis, every dish can be plotted along a single X axis, measured by Time at one end and Work at the other. If you wanted to go for fancier science, put time on the X axis and a work on the Y and plot recipes in quadrants. (Meanwhile, I’ll make a sandwich.) The two recipes that follow demonstrate how you can use the continuum to increase your kitchen efficiency. The first, a   pork and vegetable braise, requires about 3 hours of time and 5 minutes of work. The second, a fast version of spaghetti and meatballs with red gravy, provides the counterpoint. It’s ready in less than 30 minutes, but you’ll be chopping, stirring and monitoring heat and doneness  —   actively working  —   from start to finish. This is the crux of the hypothesis: To get the biggest return on your investment, whether in time or work, you need to cook toward the extremes of the continuum. Venturing toward the center, where recipes require both time and work in near equal measure, is also fine, especially if you see cooking as an art form or creative outlet that brings you relaxation and pleasure, or in times of celebration or insanity, when you throw yourself into a food project that gives you a sense of accomplishment. But for everyday    fare, you must be more efficient. Otherwise you’ll get frustrated and find your food elsewhere. My job is to lure people into the kitchen, preferably with recipes. In these examples, I’ve rolled the preparation of ingredients into the steps so that you can get an accurate portrayal of the work involved. The modern convention in recipe writing is to incorporate the preparations into the ingredient list. (“1 large onion, chopped 2 garlic cloves, minced 1 butternut squash, peeled, seeded and cut into   cubes. ”) Many cooks go so far as to suggest you gather and prepare all the ingredients in advance before proceeding with the actual directions. I understand and can execute this approach to a recipe, but I largely ignore it in the privacy of my own kitchen. And I know others do the same, opting instead to merge preparation and cooking, so that executing the various tasks ebb and flow with the natural rhythms of the process. At home, instead of first getting everything in its place  —   known as mise en place, a protocol that makes perfect sense for restaurant chefs  —   you chop the onions while the pan heats, mince the garlic while the onions sizzle and break down the squash in the time it takes the aromatics to soften. Presto. That one bit of multitasking probably saved you 7 minutes. And your work made the most efficient use of time. The spaghetti and meatballs recipe demonstrates   cooking. Throw yourself immediately into the directions and you’ll be sitting at the table twirling pasta in less than a  . You’ll be busy, but not frantic, the whole time, and rewarded with the satisfaction that you made every second count. On the other side of the time axis, there’s braised pork with cabbage and sauerkraut, an easy path to a kind of choucroute garnie. Spend a few minutes making broad strokes with a sharp knife and layer the ingredients in a deep roasting pan. Then walk away for more than 2 hours. Pass through the kitchen again to uncover the pan and turn the oven up, then go back to your business. You’ve just spent a productive 3 or so hours cooking and doing something else. Talk about efficient. With only a little forethought, you can steer many recipes toward the extremes of the   Continuum. Start by transferring the work hidden in the ingredient list  —   the chopping of vegetables and so forth  —   into the steps of the recipe. This is relatively easy: Scan the directions for chunks of time when no other work is happening. Like “Cook, stirring occasionally until brown all over, 3 to 5 minutes. ” Then use that time to prepare for what comes next. Another strategy is to let time do the work, as in the choucroute. This is what makes slow cookers so popular. Leave food in big chunks, don’t   before braising or stewing, marinate vegetables instead of cooking them and the one tip I give all the time: Prepare big batches of key components like beans, whole grains or plainly cooked produce and meat. Once you start to wean yourself from the recipe, or at least take better control of it, you’ll be a better cook.",0,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.1266882468,0.1655630568,0.0252850642,0.1874376406,0.1159184306,0.3791075609
241,"Share This Despite being dead for over 7 years, it seems that Michael Jackson’s name has just been dragged back into the spotlight once again. Unfortunately for his family, it looks like bad news for the star’s estate as a woman leaked the $900,000 sex secret he had kept quiet for a whopping 30 years – and she has proof. Most people are aware of Jackson’s depraved past involving children – specifically, little boys. However, the most recent person to come forward is actually a woman, who states that the deceased star had molested and sexually assaulted her about 3 decades prior. According to LA Times , “The alleged abuse started in 1986 and occurred in such iconic locations as Neverland Ranch, the set of ‘Moonwalker,’ Jackson’s Encino mansion, and in the back of the singer’s limousine, according to papers filed Tuesday in Los Angeles County Superior Court.” Unfortunately for the family and Jackson’s estate, her word isn’t all the accuser was armed with . Stock image of Michael Jackson’s “Neverland” ranch Among the court filings are scanned copies of checks purportedly paid to her from Jackson or his entertainment companies, which she says were issued to pay her off in exchange for her silence. In all, the checks totaled a whopping $900,000 – a damning number to say the least. Furthermore, the largest sum, a check for $600,000, was dated in late 1993, which just so happens to be three months after Jackson found himself in yet another lawsuit, that time with a 13-year-old boy saying he had been molested by the King of Pop. Of course, the payment comes at a time where Jackson would have wanted to ensure that all of his other skeletons remained perfectly quiet in his closet. Oddly enough, this is the only time a female victim has come forward to allege a Jackson sexual assault. In addition to that, the woman’s lawyer, Vince Finaldi, said the case offers the first evidence that Jackson and his production company — not an insurance carrier — made direct payments to an alleged abuse victim. Michael Jackson (Source: LA Times ) The abuse allegedly lasted for over 3 years, beginning when the girl was merely 12 years old and ending just after her 15 th birthday. LA Times adds: The woman alleges that for about three years, Jackson fondled her, forced her to orally copulate him, and attempted to have sexual intercourse with her, which caused her to bleed, the lawsuit states. Jackson also supplied her with gifts and letters, and two of the notes were attached to the lawsuit. One of the letters ends, “I’m crazy about you. … All my love, Michael.” Of course, the Jackson family lawyer is saying that the entire ordeal is a made-up claim meant to do nothing more than leech off of the star’s estate. As the woman – being a sex assault victim – and her identity are being kept quiet for the time being, it’s hard to say whether she’s looking for a payout or something more. Although this man is dead and buried, and under most circumstances should be left to rest in peace, no sex assault victim should ever go without justice. Although money is a good way to buy silence, it certainly does not equate to anything near justice. In fact, it represents the exact opposite as it proves that if you have enough money, you can get away with anything – even sexually abusing a child. This woman deserves her day in court, and it certainly doesn’t look like the Jackson family is going to like the end result.",1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0153477544,0.2303142379,0.1371507976,0.1261026358,0.4736904835,0.0173940908
242,"(Want to get this briefing by email? Here’s the  .) Good evening. Here’s the latest. 1. The House vote on the health care bill was delayed amid a swirl of Republican deal making and White House wrangling, but the Senate passed a measure to dismantle landmark internet privacy protections. Exactly when the health care vote will occur is not yet clear. The current version of the compromise bill strips away minimum requirements for coverage, like maternity care, hospitalization and prescriptions. Here are the changes made to the bill so far. And here is an easy way to see how it differs from Obamacare. The Daily podcast looks at why the Republicans are so divided. _____ 2. In the other major fight on Capitol Hill, Senate Democrats signaled a willingness to filibuster Mr. Trump’s Supreme Court pick, Neil Gorsuch. The judge, who emerged largely unscathed from 20 hours of Senate questioning over two days, appeared to be short of the eight Democratic votes he’ll need to proceed to a final confirmation vote. If the Democrats dig in, the Republican majority could change the rules to allow a simple majority vote to move the confirmation forward. _____ 3. The Islamic State claimed the deadly attack outside the British Parliament. The suspect, who was shot and killed, was identified as a      man of Pakistani descent who had a long criminal history but no terrorism convictions. The four people he killed and dozens he injured came from around the world, and included a Utah man who’d been traveling with his wife. London fell back on its famed resolve. “It takes a lot to shake a Londoner,” one woman said. “The Blitz spirit lives on. ” _____ 4. A suspect in the some of the scores of bomb threats against Jewish community centers was arrested: a Jewish teenager in Israel. The authorities said the youth, a dual  . S. citizen, used “advanced camouflage technologies” to mask the origin of his calls. His lawyer said he has a brain tumor. _____ 5. “He was particularly offended by black men who are with white women. His intent was to kill as many black men here in New York in particular. ” That was a prosecutor, explaining the case against this Army veteran, James Harris Jackson, who is facing murder charges in the fatal stabbing of a    New Yorker, Timothy Caughman. A relative of Mr. Caughman wanted people to know that he lived a full life. _____ 6. Good news from California: Using NASA data, we compared this year’s snowpack in the Sierra Nevada with that of 2015, when the state was in the grip of drought. After a very wet winter, the totals have been remarkably big. And bad news from the Arctic, which has less sea ice at winter’s end than ever before in nearly four decades of satellite measurements. The extent of ice cover  —   a record low for the third straight year  —   is another indicator of the effects of global warming. _____ 7. “If my father were alive, I would not be spending the day in the bazaar. ” That’s one of the  nearly 4 million boys and girls in Afghanistan who won’t be at school on Thursday, the first day of the new school year, because of violence, displacement and poverty. Another such child is above. Elsewhere in Afghanistan, the Taliban captured the strategic district of Sangin in Helmand Province. More British and American Marines died in Sangin than in any of the country’s roughly 400 other districts. _____ 8. When couples divorce, who gets to keep the pets? Courts are shifting from treating them as property. Above, Charlene Lima, a   Rhode Island state representative who has introduced legislation to encourage the legal system to act in the best interests of the animals. Alaska already has such a law. A particularly contentious legal fight in San Diego over Gigi the dog lasted two years, cost $150, 000 and involved a   “bonding study” by an animal behaviorist. _____ 9. John Mayer knows he messed up. As the   finished a   new album this month, he reflected on his 2010 undoing. (In comments to two magazines, he called his penis David Duke, and used a racial epithet, among other highlights.) “What has to happen for a guy to believe that he’s totally   and be that far out of touch?” he said. “My GPS was shattered, just shattered. ” _____ 10. In other navigational fails, Stephen Colbert lamented that he missed a sex scandal involving a rear admiral named Bruce Loveless amid the cacophony of news from Washington. “What has happened to us as a nation?” he grumbled. Indeed, there’s just so much news that keeping up can be overwhelming  —   not to mention going the extra mile to see events from alternative perspectives. So we’re making it easier, with a collection of political writing from the right and left that you might not have seen. Have a great night. _____ Photographs may appear out of order for some readers. Viewing this version of the briefing should help. Your Evening Briefing is posted at 6 p. m. Eastern. And don’t miss Your Morning Briefing, posted weekdays at 6 a. m. Eastern, and Your Weekend Briefing, posted at 6 a. m. Sundays. Want to look back? Here’s last night’s briefing. What did you like? What do you want to see here? Let us know at briefing@nytimes. com.",0,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.2755140418,0.099009889,0.2228247362,0.0971112937,0.0280135734,0.277526466
243,"Emma Morano, the last surviving person hailing from the 1800s, died this weekend. She took our human link to simpler times with her. [The Italian was born in a kingdom but died in a republic. Yet she never lived more than 20 miles from her place of birth. Time makes immigrants of us all if we live long enough.  She entered and exited a world with inhabitants innocent of a Soviet Union, not recognizing Pluto as a planet, or knowing anything called Eastern Airlines. In fact, the Wright Brothers’ first flight, Charles Lindbergh’s crossing of the Atlantic, and Neil Armstrong’s walk on the moon all lay in the future in 1899. No radio stations, televisions, computers, or internet marked her earliest days of existence. How long did Mrs. Morano live? Ernest Hemingway, Humphrey Bogart, Al Capone, and Duke Ellington all came into the world in 1899 as well. They all died more than a half century ago. Life expectancy averaged about fifty years upon Morano’s birth. So, by the expectations of the late 19th century, she lived more than two lifetimes. The discovery of penicillin, the creation of vaccines for polio, yellow fever, and tuberculosis, and the invention of CT scans,   and MRIs all helped extend existence over her existence. She married upon the threat of death, and separated upon the reality of bodily harm. She nevertheless remained married to her husband until his death in 1978 —  40 years after the separation —  in part because Italy only legalized divorce in 1970. She said her one true love died in World War I. Morano credited her longevity to diet, which rebelled against modern medical advice while conforming to medical advice given to her about a century ago, in its reliance on raw eggs. “I eat two eggs a day, and that’s it —  and cookies,” she told the AFP last year. “But I do not eat much because I have no teeth. ” The lesson? Pull your teeth if you long for longevity. Or, perhaps go full Rocky Balboa and down a cup of raw yolks everyday. Alas, the best advice instructs us to enter the world with the type of genetics that only comes along once every 117 years.",0,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.169102287,0.1283692518,0.0250060034,0.116807066,0.453468281,0.1072471108
