@relation Training-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute ID numeric
@attribute score_tag {P,N,NEU,NONE,P+,N+}
@attribute agreement {DISAGREEMENT,AGREEMENT}
@attribute subjectivity {SUBJECTIVE,OBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute happy numeric
@attribute angry numeric
@attribute bored numeric
@attribute fear numeric
@attribute sad numeric
@attribute excited numeric
@attribute Class {0,1}

@data
1,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.220927,0.20028,0.050861,0.127192,0.137101,0.169851,1
2,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.089606,0.186209,0.076196,0.269986,0.275841,0.102161,0
3,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.056084,0.337662,0.123161,0.188343,0.228422,0.066328,1
4,N,DISAGREEMENT,OBJECTIVE,84,NONIRONIC,0.04448,0.249139,0.084331,0.223565,0.327372,0.071112,1
5,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.045455,0.29551,0.035179,0.23742,0.306869,0.080184,1
6,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.172216,0.23499,0.06539,0.156412,0.09967,0.299519,0
7,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.104218,0.101705,0.11273,0.401049,0.136635,0.193062,1
8,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.309461,0.115673,0.033148,0.095183,0.056917,0.491201,0
9,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.209471,0.133818,0.064274,0.211267,0.142639,0.238531,0
10,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.171111,0.191955,0.063465,0.186888,0.140058,0.246523,0
11,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.155348,0.225764,0.053375,0.157367,0.08775,0.320396,0
12,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.13006,0.199084,0.111385,0.242817,0.189353,0.230385,0
13,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.080656,0.260296,0.097083,0.204486,0.184204,0.173275,1
14,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.094003,0.304145,0.065423,0.1893,0.137467,0.209662,1
15,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.13189,0.178091,0.138457,0.188688,0.18369,0.179184,0
16,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.192752,0.231795,0.048587,0.169729,0.162005,0.195131,0
17,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.18358,0.168309,0.094218,0.142627,0.206864,0.204402,1
18,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.079988,0.352513,0.023402,0.187973,0.082403,0.273721,1
19,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.11643,0.339741,0.05156,0.163611,0.114317,0.21434,0
20,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.07177,0.396143,0.045799,0.182822,0.199315,0.104151,1
21,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.180819,0.144107,0.053199,0.250946,0.146916,0.224012,0
22,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.214787,0.260293,0.0414,0.146223,0.136715,0.200582,0
23,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.04979,0.39534,0.110524,0.183459,0.155621,0.105264,1
24,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.056604,0.279022,0.015708,0.315871,0.214321,0.118475,0
25,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.141958,0.248131,0.04899,0.201863,0.089724,0.269335,1
26,N,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.171216,0.294123,0.048576,0.145573,0.103423,0.237089,0
27,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.05996,0.319318,0.110398,0.209245,0.164174,0.136904,1
28,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.146625,0.275487,0.065935,0.155206,0.159281,0.197467,0
29,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.125794,0.2757,0.064622,0.170875,0.133083,0.229925,0
30,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.287419,0.17407,0.028707,0.185903,0.11841,0.205491,1
31,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.139357,0.172011,0.216261,0.221772,0.152171,0.098429,0
32,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.174735,0.222108,0.044269,0.169547,0.14347,0.245871,0
33,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.088937,0.246645,0.068754,0.197598,0.261222,0.136843,0
34,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.09662,0.357581,0.109151,0.154518,0.127648,0.154481,0
35,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.032019,0.364056,0.096587,0.181101,0.24861,0.077627,1
36,NEU,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.129781,0.154065,0.112489,0.261274,0.127817,0.214573,1
37,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.094384,0.425771,0.067819,0.118713,0.12899,0.164323,0
38,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.079555,0.233273,0.02277,0.361386,0.207288,0.095728,0
39,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.191558,0.136882,0.027205,0.233564,0.260278,0.150513,0
40,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.162038,0.136751,0.057416,0.274108,0.160168,0.265297,1
41,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.068017,0.345118,0.048627,0.18414,0.249418,0.10468,0
42,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.140442,0.413525,0.050115,0.125297,0.147089,0.123531,1
43,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.127029,0.105154,0.09426,0.288,0.151199,0.234358,0
44,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.045386,0.467764,0.071437,0.153022,0.177552,0.084839,0
45,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.388187,0.06022,0.041473,0.094569,0.094496,0.321055,1
46,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.041222,0.355168,0.058354,0.171824,0.302415,0.071018,0
47,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.207147,0.144447,0.072002,0.17023,0.08008,0.326094,1
