ID,Class
1,1
2,0
3,1
4,1
5,0
6,0
7,1
8,0
9,0
10,0
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,1
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,1
56,0
57,1
58,0
59,1
60,0
61,1
62,1
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,1
91,1
92,0
93,0
94,0
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,1
119,0
120,0
121,0
122,1
123,1
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,1
134,1
135,1
136,0
137,0
138,1
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,0
150,1
