ID,Class
1,1
2,0
3,1
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,1
16,0
17,0
18,1
19,1
20,0
21,1
22,0
23,0
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,1
32,0
33,0
34,1
35,1
36,1
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,0
53,1
54,1
55,0
56,0
57,0
58,0
59,1
60,0
61,1
62,0
63,0
64,0
65,0
66,1
67,0
68,1
69,0
70,1
71,1
72,0
73,1
74,0
75,1
76,0
77,0
78,1
79,1
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,1
88,1
89,1
90,1
91,0
92,0
93,1
94,1
95,0
96,1
97,0
98,1
99,0
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,1
111,0
112,1
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,1
125,1
126,1
127,0
128,0
129,1
130,0
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,0
142,0
143,1
144,0
145,1
146,0
147,1
148,1
149,1
150,1
