ID,agreement,subjectivity,confidence,Class
1,DISAGREEMENT,SUBJECTIVE,86,1
2,DISAGREEMENT,SUBJECTIVE,76,0
3,DISAGREEMENT,SUBJECTIVE,86,1
4,DISAGREEMENT,OBJECTIVE,84,1
5,AGREEMENT,OBJECTIVE,100,1
6,DISAGREEMENT,SUBJECTIVE,76,0
7,DISAGREEMENT,SUBJECTIVE,86,1
8,DISAGREEMENT,SUBJECTIVE,84,0
9,DISAGREEMENT,SUBJECTIVE,76,0
10,DISAGREEMENT,SUBJECTIVE,86,0
11,DISAGREEMENT,SUBJECTIVE,86,0
12,DISAGREEMENT,SUBJECTIVE,86,0
13,DISAGREEMENT,SUBJECTIVE,86,1
14,DISAGREEMENT,OBJECTIVE,94,1
15,DISAGREEMENT,SUBJECTIVE,86,0
16,DISAGREEMENT,SUBJECTIVE,86,0
17,DISAGREEMENT,SUBJECTIVE,86,1
18,DISAGREEMENT,SUBJECTIVE,83,1
19,DISAGREEMENT,SUBJECTIVE,86,0
20,DISAGREEMENT,SUBJECTIVE,86,1
21,DISAGREEMENT,SUBJECTIVE,92,0
22,DISAGREEMENT,SUBJECTIVE,86,0
23,DISAGREEMENT,SUBJECTIVE,84,1
24,DISAGREEMENT,SUBJECTIVE,86,0
25,DISAGREEMENT,SUBJECTIVE,86,1
26,DISAGREEMENT,SUBJECTIVE,74,0
27,DISAGREEMENT,SUBJECTIVE,86,1
28,DISAGREEMENT,SUBJECTIVE,86,0
29,DISAGREEMENT,SUBJECTIVE,76,0
30,DISAGREEMENT,SUBJECTIVE,84,1
31,DISAGREEMENT,SUBJECTIVE,86,0
32,DISAGREEMENT,SUBJECTIVE,76,0
33,DISAGREEMENT,SUBJECTIVE,73,0
34,DISAGREEMENT,SUBJECTIVE,76,0
35,DISAGREEMENT,SUBJECTIVE,73,1
36,DISAGREEMENT,SUBJECTIVE,74,1
37,DISAGREEMENT,SUBJECTIVE,86,0
38,DISAGREEMENT,SUBJECTIVE,84,0
39,DISAGREEMENT,SUBJECTIVE,76,0
40,DISAGREEMENT,SUBJECTIVE,86,1
41,DISAGREEMENT,SUBJECTIVE,86,0
42,DISAGREEMENT,SUBJECTIVE,86,1
43,DISAGREEMENT,SUBJECTIVE,91,0
44,DISAGREEMENT,SUBJECTIVE,83,0
45,DISAGREEMENT,SUBJECTIVE,91,1
46,DISAGREEMENT,SUBJECTIVE,86,0
47,DISAGREEMENT,SUBJECTIVE,86,1
48,DISAGREEMENT,SUBJECTIVE,91,1
49,DISAGREEMENT,SUBJECTIVE,86,0
50,DISAGREEMENT,SUBJECTIVE,76,0
51,DISAGREEMENT,SUBJECTIVE,76,0
52,DISAGREEMENT,SUBJECTIVE,76,0
53,DISAGREEMENT,SUBJECTIVE,76,1
54,DISAGREEMENT,SUBJECTIVE,86,0
55,DISAGREEMENT,SUBJECTIVE,76,0
56,DISAGREEMENT,SUBJECTIVE,74,1
57,DISAGREEMENT,SUBJECTIVE,73,0
58,DISAGREEMENT,SUBJECTIVE,86,1
59,DISAGREEMENT,OBJECTIVE,92,1
60,AGREEMENT,OBJECTIVE,100,1
61,DISAGREEMENT,SUBJECTIVE,91,1
