@relation CorrelationAttributeEvalRanker-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute ID numeric
@attribute agreement {DISAGREEMENT,AGREEMENT}
@attribute subjectivity {SUBJECTIVE,OBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute angry numeric
@attribute fear numeric
@attribute Class {0,1}

@data
1,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.20028,0.127192,1
2,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.186209,0.269986,0
3,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.337662,0.188343,1
4,DISAGREEMENT,OBJECTIVE,84,NONIRONIC,0.249139,0.223565,1
5,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.29551,0.23742,1
6,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.23499,0.156412,0
7,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.101705,0.401049,1
8,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.115673,0.095183,0
9,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.133818,0.211267,0
10,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.191955,0.186888,0
11,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.225764,0.157367,0
12,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.199084,0.242817,0
13,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.260296,0.204486,1
14,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.304145,0.1893,1
15,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.178091,0.188688,0
16,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.231795,0.169729,0
17,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.168309,0.142627,1
18,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.352513,0.187973,1
19,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.339741,0.163611,0
20,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.396143,0.182822,1
21,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.144107,0.250946,0
22,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.260293,0.146223,0
23,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.39534,0.183459,1
24,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.279022,0.315871,0
25,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.248131,0.201863,1
26,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.294123,0.145573,0
27,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.319318,0.209245,1
28,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.275487,0.155206,0
29,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.2757,0.170875,0
30,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.17407,0.185903,1
31,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.172011,0.221772,0
32,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.222108,0.169547,0
33,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.246645,0.197598,0
34,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.357581,0.154518,0
35,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.364056,0.181101,1
36,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.154065,0.261274,1
37,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.425771,0.118713,0
38,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.233273,0.361386,0
39,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.136882,0.233564,0
40,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.136751,0.274108,1
41,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.345118,0.18414,0
42,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.413525,0.125297,1
43,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.105154,0.288,0
44,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.467764,0.153022,0
45,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.06022,0.094569,1
46,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.355168,0.171824,0
47,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.144447,0.17023,1
48,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.112771,0.171461,1
49,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.480635,0.126103,0
50,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.105619,0.209116,0
51,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.201263,0.214225,0
52,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.434267,0.128052,0
53,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.169679,0.199716,1
54,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.255786,0.256506,0
55,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.124957,0.275412,0
56,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.188373,0.160404,1
57,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.180395,0.313426,0
