ID,agreement,subjectivity,confidence,irony,angry,fear,Class
1,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.200280017,0.127192179,1
2,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.186209282,0.269985999,0
3,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.337662481,0.188343289,1
4,DISAGREEMENT,OBJECTIVE,84,NONIRONIC,0.249139457,0.223564722,1
5,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.295509559,0.237420396,1
6,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.234989871,0.156412464,0
7,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.101705184,0.401048651,1
8,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.115672523,0.095182916,0
9,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.133818498,0.211267222,0
10,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.191954514,0.18688816,0
11,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.225763592,0.15736668,0
12,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.199083775,0.242816998,0
13,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.260295773,0.204485985,1
14,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.304144715,0.189300456,1
15,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.17809056,0.188688349,0
16,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.231795029,0.169728848,0
17,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.168309133,0.14262738,1
18,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.352512509,0.187973408,1
19,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.33974117,0.163611399,0
20,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.396142581,0.18282175,1
21,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.144107474,0.250946433,0
22,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.26029294,0.14622312,0
23,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.395340424,0.183459495,1
24,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.279021664,0.315870873,0
25,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.248130519,0.20186258,1
